Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.6708629200872958,0.6878749177765059,0.481935035608824,0.07572680045839411,0.005734548307665438,0.06250237484511202,1983.8908896999928
Vincristine,0.6385139416860564,0.6154254408491696,0.4308749427393495,0.18639218334501934,0.0347420460121233,0.15024780184915915,1983.8908896999928
Venetoclax,0.49343922998624734,0.18477963341019865,0.12489689440268774,0.1388524823086187,0.01928001184326527,0.09519954215133337,1983.8908896999928
Trametinib,0.5443378841288247,0.5439451392519421,0.37965968955268853,0.18078426913982845,0.03268295196842193,0.1467199041070871,1983.8908896999928
Tozasertib,0.4677651830254406,0.5636363636363636,0.4222222222222222,0.16339602157237154,0.026698259865678902,0.14162953478856433,1983.8908896999928
Topotecan,0.579802108852586,0.5429533669254835,0.37784758874393043,0.22725104595472034,0.05164303788751441,0.1968702246374696,1983.8908896999928
Teniposide,0.6513112663148959,0.5930704286793154,0.4110143161350273,0.1928231231837301,0.03718075683432795,0.1639603145798323,1983.8908896999928
Sorafenib,0.561211598138374,0.3631651560324281,0.24270453361125585,0.11197509478059378,0.01253842185112296,0.099105925945661,1983.8908896999928
Sirolimus,0.3757405333060423,0.3265211802939422,0.22584765966854298,0.20817045000349857,0.0433349362546591,0.1756378980356812,1983.8908896999928
Ruxolitinib,0.18336564645275405,0.19853888358269994,0.1338753438823185,0.06735621599185768,0.004536859832741783,0.05095576737031235,1983.8908896999928
Pictilisib,0.3294561220019222,0.2662451547825804,0.1902240154667339,0.12309229526985965,0.015151713154802312,0.09655290047435111,1983.8908896999928
Pevonedistat,0.6055882645702265,0.5997213369845399,0.4203932299833716,0.15860354250126277,0.025155083693949865,0.1270997100207868,1983.8908896999928
Paclitaxel,0.3230451243686137,0.3042600226234154,0.21271286167059225,0.5557777902828233,0.3088889521716579,0.5287665595168041,1983.8908896999928
Oxaliplatin,0.5255999413070795,0.5054619357340269,0.35024909575914,0.07419761554905245,0.00550528615316499,0.05625327824941201,1983.8908896999928
Olaparib,0.3042620323680473,0.18661586628914087,0.125855621257326,0.0860260645349585,0.007400483779372843,0.06915508704200454,1983.8908896999928
Obatoclax,0.2022826614651251,0.1490160422363812,0.09541914796152084,0.24143054520730148,0.05828870815909484,0.22254005960034184,1983.8908896999928
Nilotinib,0.8338935106505972,0.21933493953012323,0.15132275299895737,0.07140519510466876,0.005098701887935812,0.054421658699557444,1983.8908896999928
Navitoclax,0.6244277539840508,0.4766520176632931,0.3344951562873774,0.1658240693441595,0.027497621973856617,0.11967157806238664,1983.8908896999928
Molibresib,0.33045189696219,0.21590994179399675,0.14469146644039704,0.10421713287912188,0.010861210785544546,0.07954802897288754,1983.8908896999928
Linsitinib,0.4455810075142236,0.36976775552660807,0.24806739826969237,0.07526717049440979,0.005665146954234551,0.056632994940336016,1983.8908896999928
Lapatinib,0.4613405906494489,0.4089842484645829,0.2839450570229243,0.10687545198826204,0.011422362237695305,0.08589218025046555,1983.8908896999928
Ibrutinib,0.41842852526734153,0.40232489603496724,0.2872825059160063,0.1489325849082013,0.022180914847438588,0.1276392593270093,1983.8908896999928
Gemcitabine,0.5940067872410949,0.5701430738755039,0.3916986899319915,0.2239067930637611,0.05013425198009794,0.1873384778768336,1983.8908896999928
Gefitinib,0.3069111272598025,0.13352136996285682,0.0877743981304506,0.16099728911918978,0.025920127103727986,0.14638857329027657,1983.8908896999928
Foretinib,0.5262815259013551,0.42693054058216545,0.29842746400885933,0.14517687650889874,0.021076325472880037,0.1170528456470123,1983.8908896999928
Erlotinib,0.36826190801184266,0.2711834346994839,0.17955848158487567,0.09726472050041153,0.009460425854023175,0.0810098408617331,1983.8908896999928
Entinostat,0.5385129519801108,0.5524651016581982,0.3803473007952775,0.16781243763775083,0.02816101422592401,0.14817140529930814,1983.8908896999928
Dinaciclib,0.3920742753450898,0.44872612923843697,0.31208126729140406,0.3063907546225561,0.0938752945181794,0.27446253931835135,1983.8908896999928
Dasatinib,0.7037666563203275,0.630429354053187,0.44490015220630547,0.2584269645959586,0.06678449603028083,0.235137954180406,1983.8908896999928
Daporinad,0.633693433903102,0.6449264476890103,0.45826662025757053,0.16288658937184003,0.02653204099719043,0.12842126833828477,1983.8908896999928
Dabrafenib,0.4115180821364677,0.28874534747159336,0.19660624101091181,0.0992324172761844,0.00984707263847478,0.06696332487598312,1983.8908896999928
Cytarabine,0.6332225776838685,0.5335055101982112,0.37414935714130504,0.16588486950178044,0.027517789929622723,0.13096234902275092,1983.8908896999928
Crizotinib,0.23358792877555531,0.15943854557349088,0.11209247876223631,0.24202499063677763,0.0585760960927323,0.23219759719506555,1983.8908896999928
Axitinib,0.27703826508164325,0.26363636363636367,0.16363636363636364,0.11523494984486765,0.013279093665749165,0.10629294212806877,1983.8908896999928
Alpelisib,0.16000027355422544,0.157400551677011,0.10959307775063977,0.1413323472563792,0.019974832380997752,0.12454711871711292,1983.8908896999928
Alisertib,0.5984230268516537,0.5090388289302334,0.35469129657625836,0.15213210862429866,0.023144178474475408,0.12054390996260318,1983.8908896999928
Afatinib,0.5366411802133255,0.5229548785488155,0.3647077174712436,0.17360571611838885,0.03013894466897862,0.15022022183923242,1983.8908896999928
Adavosertib,0.5724199554126586,0.5584848198339348,0.3950750466090736,0.09995686604376573,0.009991375069291326,0.07891782578286391,1983.8908896999928
