Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.6999322362544113,0.7137537481099275,0.5150251867291992,0.07015405862854285,0.0049215919420570265,0.05771168550030864,2162.181643700009
Vincristine,0.6475719159214444,0.6253071253071253,0.4413650939074668,0.17860920695857765,0.03190124881037202,0.14503425935563147,2162.181643700009
Venetoclax,0.5843829163945167,0.26899392601414135,0.1846781117729823,0.1283421253519387,0.016471701139852746,0.08382723518060026,2162.181643700009
Trametinib,0.5972785907475129,0.5837765521351017,0.41379381441827584,0.17142184109250183,0.029385447603542947,0.13665821560190192,2162.181643700009
Tozasertib,0.2639633329324068,0.406060606060606,0.28888888888888886,0.15121912074067595,0.02286722247758313,0.13166214893272848,2162.181643700009
Topotecan,0.5888699148211943,0.5647384594051661,0.3989106877755318,0.22252676667836876,0.04951816188832917,0.18943806631283622,2162.181643700009
Teniposide,0.6186211291878663,0.575859411542437,0.3965515295545118,0.17436495552790798,0.03040313771624933,0.1447456018557899,2162.181643700009
Sorafenib,0.5669643297810386,0.3261906389085845,0.22068785825951015,0.11998142947976956,0.014395543420008915,0.10620086845656122,2162.181643700009
Sirolimus,0.3989390199620157,0.3788567936692528,0.2609407738490272,0.20134639713968625,0.04054037164113225,0.16795326620350062,2162.181643700009
Ruxolitinib,0.20127008791863335,0.258412457644289,0.1771355638684833,0.0686189209275452,0.0047085563092606995,0.05070825114430056,2162.181643700009
Pictilisib,0.3194474493747152,0.23282098421465783,0.16307317278191066,0.12359799688690656,0.015276464834455763,0.10036599126733879,2162.181643700009
Pevonedistat,0.5939725101920974,0.5870490893691279,0.4135317940722748,0.16123213740503897,0.025995802132197366,0.12903836143187006,2162.181643700009
Paclitaxel,0.3300793697096533,0.30480494398347757,0.20982062529184767,0.5325718844215753,0.28363281207634783,0.5022357152067698,2162.181643700009
Oxaliplatin,0.5309575939471672,0.5192874511707853,0.3553153796900822,0.08264049166935904,0.0068294508633534,0.061194532236956985,2162.181643700009
Olaparib,0.3203489693567073,0.22660841716076255,0.1548516647792578,0.09797240444533732,0.009598592032800753,0.07456495491628146,2162.181643700009
Obatoclax,0.1839907912826182,0.18128837620363042,0.11846083371507099,0.24946580355916131,0.06223318714541806,0.22896458391992353,2162.181643700009
Nilotinib,0.8578560685599946,0.2613435128756612,0.18300229301035312,0.06356287433491341,0.004040238993715994,0.04509607032473027,2162.181643700009
Navitoclax,0.5572018254855396,0.38354093063729167,0.2585317688503037,0.1719452592986787,0.02956517219528986,0.12642692192814634,2162.181643700009
Molibresib,0.32920953964157995,0.24343534266480216,0.16015178045533293,0.11399297420820716,0.012994398168832981,0.08723738653216478,2162.181643700009
Linsitinib,0.5169255905848059,0.36716838556665865,0.25407160123817446,0.07800600610141924,0.006084936987894656,0.06063130778885167,2162.181643700009
Lapatinib,0.4864968608115263,0.4251688892096278,0.2891598422758705,0.11036391232340682,0.012180193143328629,0.08899724112365885,2162.181643700009
Ibrutinib,0.4615025270618373,0.4540885360017623,0.32527617010981397,0.14189521082625547,0.02013425085542749,0.11626079312776307,2162.181643700009
Gemcitabine,0.5609047738567576,0.5416836309084135,0.37198640075814515,0.2332951690603155,0.054426635906881196,0.19298171261413394,2162.181643700009
Gefitinib,0.2618460794077026,0.1437213224602615,0.09727085542431699,0.18408839412015426,0.03388853684973725,0.1717311439042985,2162.181643700009
Foretinib,0.5322171586781977,0.4446639237860554,0.306843853820598,0.14013833276030388,0.019638752308837663,0.11125324363049999,2162.181643700009
Erlotinib,0.3277263066849324,0.23040671729663642,0.15164603179806707,0.10512694364694035,0.011051674280546972,0.08662529819315817,2162.181643700009
Entinostat,0.5313339121348473,0.5160804341902432,0.3521394723473826,0.17284751128944462,0.029876262158954687,0.15394843653908039,2162.181643700009
Dinaciclib,0.48487776037896124,0.5088590902150224,0.3549244159413651,0.259343401360117,0.06725899982903476,0.22694773663052822,2162.181643700009
Dasatinib,0.6633178316500459,0.5775933963136602,0.40648111054852254,0.2529364337189875,0.06397683950247975,0.22643528085392792,2162.181643700009
Daporinad,0.6164729315034863,0.614777633258224,0.43431952662721895,0.1776459494999673,0.03155808337374493,0.1416965403734792,2162.181643700009
Dabrafenib,0.418319611936429,0.25373375566299994,0.16979829339706062,0.10006164025201038,0.010012331849922744,0.07110543633918842,2162.181643700009
Cytarabine,0.6460364570973426,0.5371394288196978,0.37890014523235716,0.1689865717719763,0.028556461439245298,0.12696123151348956,2162.181643700009
Crizotinib,0.23320920218599706,0.13266138272828487,0.09205347693015992,0.24681382722994566,0.06091706531189346,0.23791086512251824,2162.181643700009
Axitinib,0.49754840301453135,0.5181818181818182,0.38181818181818183,0.09732350110241521,0.009471863866831813,0.08270805034522995,2162.181643700009
Alpelisib,0.2513772209507059,0.20808057783892484,0.1390634852129967,0.1592355902202804,0.025355973192801053,0.1425866012767395,2162.181643700009
Alisertib,0.5932640569359282,0.5288024059071367,0.37153268318444815,0.15021707839007878,0.022565170640051074,0.11591965442522108,2162.181643700009
Afatinib,0.5489953109932973,0.5211799765424908,0.3596929779068561,0.16673726595953856,0.027801315859661894,0.14536251818512907,2162.181643700009
Adavosertib,0.6306395028179809,0.6105024215489935,0.4317601908515714,0.09584959399848524,0.009187144669674458,0.07584787543020977,2162.181643700009
