Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.6588892095601039,0.6712486865597691,0.4666492965085982,0.0777280759009672,0.006041653783266517,0.06399657290689506,5483.3677283
Vincristine,0.6464946976559476,0.6217974523059269,0.4383875400824553,0.18060789351361206,0.032619211199424236,0.14488898737692757,5483.3677283
Venetoclax,0.47548125070701464,0.22388132062500382,0.1584466778973737,0.14122715141712475,0.019945108297395483,0.08949247215603658,5483.3677283
Trametinib,0.5610086307598368,0.5633551001475399,0.38856424386545046,0.18990268197279841,0.03606302862046182,0.1576469374452151,5483.3677283
Tozasertib,0.7716127696484386,0.7575757575757575,0.5555555555555555,0.16217089838670953,0.026299400283552467,0.1512533194944338,5483.3677283
Topotecan,0.5792365441994782,0.5476756922467318,0.3844467571100545,0.23094968551973447,0.053337757241664244,0.1988466958051816,5483.3677283
Teniposide,0.6627820863602087,0.5888831929464229,0.40509361287862883,0.18704102423142155,0.03498434474553923,0.1591151769488015,5483.3677283
Sorafenib,0.5930402766828377,0.32319941226219256,0.2191679694285218,0.10631987278810065,0.011303915349677904,0.0947593967760468,5483.3677283
Sirolimus,0.3340856227867627,0.23611981797064402,0.16102598379376323,0.2020976990214153,0.040843479949750565,0.17284226380837978,5483.3677283
Ruxolitinib,0.1387295175974113,0.1190680178529089,0.08214815035875463,0.06198556961475089,0.003842210840465129,0.04915712775030044,5483.3677283
Pictilisib,0.3361025842154842,0.2530128812621765,0.17736308998444922,0.11453895334646656,0.013119171833704044,0.09191065934723254,5483.3677283
Pevonedistat,0.6120595934226101,0.604204548221272,0.4261689956553708,0.1600760378754098,0.025624337901889633,0.12929302838395118,5483.3677283
Paclitaxel,0.3357519893902228,0.30780136223265164,0.21186743872911307,0.5628208837691409,0.3167673472066768,0.5359917016386109,5483.3677283
Oxaliplatin,0.5286640040203479,0.49290041447253624,0.3359884446942655,0.07106305971233264,0.005049958455678554,0.05212172326403089,5483.3677283
Olaparib,0.33571852480368747,0.2378113584188132,0.16030974355985675,0.08160244621184312,0.00665895922775675,0.0646926537733812,5483.3677283
Obatoclax,0.20624659394910644,0.1620515739159807,0.1065506184150252,0.2508604301110977,0.06293095539552494,0.23218564145431367,5483.3677283
Nilotinib,0.7631648801933151,0.21380415074496817,0.1516381964983596,0.08054100650537346,0.00648685372889861,0.0577006316731986,5483.3677283
Navitoclax,0.5498558049129552,0.44597143417308416,0.3049176452269731,0.17275556913736398,0.029844486667974544,0.12310270596887958,5483.3677283
Molibresib,0.25699075034337227,0.16789681265216028,0.10988204776873156,0.11018510101951061,0.012140756486679758,0.08480045591218069,5483.3677283
Linsitinib,0.4122913799597684,0.34109369160348024,0.23046757831832926,0.074622615155817,0.00556853469269317,0.05584860405081953,5483.3677283
Lapatinib,0.3932046363576901,0.3692225287307843,0.2503966052289699,0.10958375711314734,0.01200859982303327,0.08810649911419345,5483.3677283
Ibrutinib,0.43267369998614774,0.3558580434610646,0.25019232059539304,0.15361450270215454,0.023597415440430244,0.13154292120735075,5483.3677283
Gemcitabine,0.5492069679994063,0.536279128762751,0.3704802932707052,0.22964905581007664,0.052738688834459695,0.19141688432707074,5483.3677283
Gefitinib,0.3767331116691763,0.22619338900070943,0.1491848219641198,0.16666319400569926,0.027776620236181347,0.15482292984717283,5483.3677283
Foretinib,0.4736499394217957,0.40237046489626194,0.2765891472868217,0.1484883721460385,0.02204879666258042,0.12141823646606938,5483.3677283
Erlotinib,0.3618926270887318,0.2554072091922813,0.16836737457206785,0.10264334250595707,0.010535655760795213,0.085461545346549,5483.3677283
Entinostat,0.5411565020355862,0.5419641300420956,0.3748774893568468,0.16703663163725016,0.027901236308718404,0.14914713392042814,5483.3677283
Dinaciclib,0.39502532351433156,0.4402229394521214,0.3063021793854021,0.31152972841576365,0.09705077168679944,0.2801817829047866,5483.3677283
Dasatinib,0.6348944047112969,0.5592661051667973,0.39198897204708016,0.2689887541693514,0.07235494986957977,0.24342275172577066,5483.3677283
Daporinad,0.583608038946034,0.5873840535902932,0.41830838844413515,0.16443004964532124,0.02703724122636281,0.12504999489806695,5483.3677283
Dabrafenib,0.3939252175562654,0.3027302984344908,0.20529359555680793,0.09618484295490105,0.00925152401425898,0.06616158750964203,5483.3677283
Cytarabine,0.6233314099109352,0.5230295914461394,0.36185270635942324,0.16976492940043644,0.02882013125433517,0.1318202046576861,5483.3677283
Crizotinib,0.24869187562508854,0.12990839347196956,0.08941377868659435,0.23815248067056263,0.05671660404954271,0.22945411920197328,5483.3677283
Axitinib,0.4034463634525919,0.5454545454545455,0.3090909090909091,0.10910908241572553,0.011904791865601588,0.09908916506652816,5483.3677283
Alpelisib,0.2237133255622728,0.22474498212317778,0.15041560645487395,0.13844996998849715,0.019168394189815762,0.12301663138166805,5483.3677283
Alisertib,0.6123326620362624,0.523499337834042,0.3644634001095235,0.15351494253724732,0.023566837582214346,0.12221410235187875,5483.3677283
Afatinib,0.5405011319439543,0.4904594161154684,0.34496421533035987,0.17584746658363112,0.030922331503881267,0.153348135622462,5483.3677283
Adavosertib,0.584640420319071,0.5760669576248872,0.40558033399024995,0.09756508095237934,0.009518945021244334,0.07704267273940028,5483.3677283
