Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.6777591807064198,0.701201957986998,0.49261768282091367,0.0807678089802445,0.006523438967469264,0.06751144188817874,2460.712538000007
Vincristine,0.6384381197116479,0.6181392486477232,0.43632615666513974,0.18473764530588607,0.03412799759316337,0.1474754897044988,2460.712538000007
Venetoclax,0.5633847819732839,0.3157553399840454,0.2174343392848768,0.1337334946392333,0.017884647588421843,0.08730766897208161,2460.712538000007
Trametinib,0.6645229356610646,0.6741011261926539,0.4911727424046374,0.1608817107789748,0.0258829248631697,0.12632951824964167,2460.712538000007
Tozasertib,0.7042432426331973,0.7212121212121211,0.4666666666666666,0.15120699162677226,0.022863554316818774,0.13607692996990578,2460.712538000007
Topotecan,0.6317209665135232,0.6196356046295077,0.44713885658823277,0.21617018062652674,0.0467295469921052,0.1865455924958624,2460.712538000007
Teniposide,0.6515258590845125,0.6160471705664352,0.4290024069445436,0.18079290756394206,0.0326860754254241,0.14982320213220843,2460.712538000007
Sorafenib,0.5591133941908649,0.3885480825908303,0.26163800590585373,0.11630463133523423,0.01352676727002475,0.10119648004528717,2460.712538000007
Sirolimus,0.3798295155968443,0.3292347808561221,0.22674175174957442,0.20401119944809795,0.04162056950025161,0.17099951902670257,2460.712538000007
Ruxolitinib,0.2095302555271427,0.20405117709136694,0.13989013382691898,0.06323614595515208,0.003998810155261297,0.04856796961774015,2460.712538000007
Pictilisib,0.368331498172099,0.2802664920422515,0.19341823225318372,0.11352928506950807,0.012888898568393628,0.09046697131271984,2460.712538000007
Pevonedistat,0.6534466576108162,0.645464101634321,0.4624738084507945,0.157428250484622,0.024783654050648887,0.12458054152245787,2460.712538000007
Paclitaxel,0.35112358636826735,0.30387351366826415,0.20648342947021928,0.525645392845423,0.2763030790196191,0.49461046814079607,2460.712538000007
Oxaliplatin,0.5365775884740847,0.5073105658250072,0.35099965634150176,0.07509206978240551,0.005638818944205658,0.05457176848213119,2460.712538000007
Olaparib,0.3269252909514767,0.2339730756197758,0.1585188114599727,0.09309288493018526,0.008666285224624716,0.06936335608663864,2460.712538000007
Obatoclax,0.2230517889210344,0.2092051990357075,0.13568483737975265,0.24054486168735842,0.05786183048419039,0.22001472139407696,2460.712538000007
Nilotinib,0.8569422279891555,0.17921776341007242,0.12275258462452646,0.06039195262846458,0.00364718794227871,0.043572138051662504,2460.712538000007
Navitoclax,0.6105041555632409,0.48400944612997204,0.33471231862996487,0.16917651804846395,0.02862069425900225,0.1217777996933541,2460.712538000007
Molibresib,0.3243522674987751,0.23922389107549666,0.16024662900757183,0.1085404819762313,0.011781036227632592,0.08301027212664323,2460.712538000007
Linsitinib,0.5044762818081441,0.3705835335032121,0.246941610213102,0.08154677352896164,0.006649876272983759,0.06353901559387413,2460.712538000007
Lapatinib,0.4937301939652483,0.4505950922359982,0.30680319904833875,0.11053421393875795,0.012217812451059112,0.08988790811225518,2460.712538000007
Ibrutinib,0.4884239858890734,0.4382953414582701,0.3175252724081986,0.1428160169361941,0.020396414693519282,0.11865483909914043,2460.712538000007
Gemcitabine,0.6070183178147779,0.6017927660329586,0.41854284103165634,0.22481773785164605,0.050543015252731444,0.18485918313227864,2460.712538000007
Gefitinib,0.2874368375002151,0.12024461848727469,0.08049378087181973,0.18043796962321826,0.03255786088174944,0.16654079597810081,2460.712538000007
Foretinib,0.5998171745633059,0.46471496776748594,0.3265559246954595,0.1368104833845571,0.018717108363916175,0.11192071276276588,2460.712538000007
Erlotinib,0.34492307543694095,0.23159355496173267,0.1541281061160828,0.10047943153085931,0.010096116160764645,0.08098884058619289,2460.712538000007
Entinostat,0.5643445212931134,0.5667629113479129,0.3912968282115512,0.16871266709894572,0.028463964039639685,0.15128609530889162,2460.712538000007
Dinaciclib,0.51420377394406,0.5496457937135902,0.3846541456710948,0.2560233661090191,0.06554796399379284,0.22585945325754272,2460.712538000007
Dasatinib,0.7082128276124235,0.6413204155399296,0.45815982145102696,0.24262986656058064,0.05886925214720516,0.2188463661177247,2460.712538000007
Daporinad,0.6779701936106657,0.6822686720281386,0.5005917159763315,0.1669225048234189,0.027863122616524297,0.1284125104888636,2460.712538000007
Dabrafenib,0.4521727982761664,0.2818150263849529,0.1951144730585862,0.10064810622065028,0.010130041285803302,0.0683282319974382,2460.712538000007
Cytarabine,0.6391471837389333,0.5393016931725021,0.3758763064605515,0.16611357303516822,0.02759371914651016,0.12583323407497532,2460.712538000007
Crizotinib,0.24548568438157342,0.15066142448011996,0.10275625344498039,0.24237534218162332,0.05874580649765899,0.23350288173559755,2460.712538000007
Axitinib,0.21794601334621355,0.4727272727272727,0.23636363636363636,0.11220274135258769,0.012589455167035692,0.10129172737700708,2460.712538000007
Alpelisib,0.26641326937850274,0.2457890654803039,0.16635368396002617,0.14935124730720994,0.022305795072219387,0.13354768289637228,2460.712538000007
Alisertib,0.6068701814130107,0.5551241174623898,0.3890198571066304,0.1418172404452581,0.020112129687508144,0.11330936897169687,2460.712538000007
Afatinib,0.5635790607060623,0.510023297934303,0.35338657815579294,0.16972841228941557,0.028807733938285833,0.14817450018415967,2460.712538000007
Adavosertib,0.6137653156847721,0.6073009502684847,0.43167721190747843,0.0958374998492422,0.009184826377353498,0.07630292439941401,2460.712538000007
