Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.34073348104151174,0.370725019007509,0.24969602223380233,0.08460718322456064,0.007158375453194376,0.06861338355294279,3393.934802600008
Vincristine,0.605171404439852,0.5608619405229575,0.3911589555657352,0.19438906968860517,0.037787110414401394,0.16265915673288311,3393.934802600008
Venetoclax,0.09024168270108379,0.01521073846239082,0.009654931123963506,0.12833247567452347,0.01646922431275216,0.07797760045491917,3393.934802600008
Trametinib,0.09367413647906205,0.0755556187737547,0.05402508530960403,0.19902410979744592,0.03961059628066581,0.1755463467850093,3393.934802600008
Tozasertib,0.4039584091490709,0.5030303030303029,0.37777777777777777,0.16931225773025024,0.028666640617714685,0.1467385409308662,3393.934802600008
Topotecan,0.12425158290897241,0.06336913281692208,0.03995705992752661,0.230979913274836,0.05335172033645076,0.19844267913904293,3393.934802600008
Teniposide,0.14352356800696375,0.1521482482785171,0.10309255059423768,0.19598032388295156,0.03840828734926659,0.17218662501689744,3393.934802600008
Sorafenib,0.060530090578854,0.07657121622429715,0.05198019801980198,0.10469864985715403,0.010961807281910941,0.08417732290315309,3393.934802600008
Sirolimus,0.005040379222146493,0.004082957689514697,0.0032187314917132017,0.17339125324547153,0.030064526702035244,0.15484187933718246,3393.934802600008
Ruxolitinib,0.1588486023049554,0.1736976775969735,0.1153682978989325,0.052185173787785144,0.0027232923632613377,0.041434769892689335,3393.934802600008
Pictilisib,-0.02452941081928116,-0.04851359101280804,-0.03345521792123734,0.10631376891212047,0.011302617460299752,0.08569118810875989,3393.934802600008
Pevonedistat,0.15830942585508584,0.16436163146860414,0.11184574803183447,0.20117692371691176,0.04047215463620013,0.16596186690751394,3393.934802600008
Paclitaxel,0.18492326021735433,0.13680555883008738,0.09475411336210149,0.4868793627529183,0.2370515138746878,0.4837851749960255,3393.934802600008
Oxaliplatin,0.08258516614633171,0.08511780705457295,0.054828450541530425,0.07143349375535474,0.005102744030096304,0.052877738418565065,3393.934802600008
Olaparib,0.05869007188500138,0.05842327644521436,0.040402575348574075,0.06368230986842771,0.004055436590178445,0.05394873179846408,3393.934802600008
Obatoclax,0.13930250461715182,0.13039418463147276,0.0853870819972515,0.21867764667835352,0.04781991315678282,0.20072907596074066,3393.934802600008
Nilotinib,0.06802290718827776,0.09868356876087571,0.07034390036669816,0.11911329212692827,0.014187976361314952,0.06818582013284465,3393.934802600008
Navitoclax,0.20146193326009715,0.16656491916288635,0.10916750961868768,0.20488712326977118,0.04197873328176241,0.1432666446795372,3393.934802600008
Molibresib,0.12067466179467487,0.08428381766767752,0.05553382733585872,0.0892750734206946,0.00797003873427041,0.07210355777050026,3393.934802600008
Linsitinib,0.17659209429202966,0.11260653247015412,0.07518387904596154,0.08418692806932995,0.007087438857750535,0.057482451521209836,3393.934802600008
Lapatinib,0.029971542700495332,0.029838001968972575,0.021684815343501564,0.10742746361807026,0.01154065993941181,0.08387443572775961,3393.934802600008
Ibrutinib,0.02816026725972129,0.0369983082040147,0.02501238193981445,0.14321680310600726,0.020511052691904855,0.129280996333893,3393.934802600008
Gemcitabine,0.2953785131934493,0.2814389431958547,0.18784261177909073,0.28307140633026134,0.08012942108179191,0.23324278298490841,3393.934802600008
Gefitinib,0.04725838104506213,0.051067936075098054,0.033192379303323416,0.1366372590873294,0.01866974057089798,0.1294881045382603,3393.934802600008
Foretinib,0.029518349713591026,0.03514202107764406,0.024097452934662235,0.14874760190670158,0.02212584907299457,0.11793720192826213,3393.934802600008
Erlotinib,0.11412232535394598,0.08562491174895166,0.05867710778116163,0.0832071169944374,0.006923424318525995,0.07252685880549582,3393.934802600008
Entinostat,0.14865259598749103,0.17335401261793507,0.11631902413360821,0.14734322378772038,0.02171002559615825,0.1294709242128686,3393.934802600008
Dinaciclib,0.1020202008751461,0.11019401527876102,0.074942739349519,0.24603592972587526,0.06053367871607583,0.21348274503284845,3393.934802600008
Dasatinib,0.1393748815976184,0.15528396616438425,0.10473863735133397,0.25314201352052385,0.06408087900922507,0.22739255757429797,3393.934802600008
Daporinad,0.35926301028004987,0.36467412876081606,0.25471632439958236,0.22772594532975898,0.051859106176332374,0.18124119490421498,3393.934802600008
Dabrafenib,0.08877843980565236,0.08558257116119983,0.0576085682765738,0.10317361647712049,0.010644795136967948,0.08152507092117488,3393.934802600008
Cytarabine,0.4595588416582522,0.29717705642644476,0.2005813051964491,0.15972077091855802,0.025510724662818486,0.13657141585730975,3393.934802600008
Crizotinib,0.12797961141499703,0.12088179249895832,0.08375042609130817,0.2085958252292782,0.04351221830308357,0.204161851913874,3393.934802600008
Axitinib,0.5377107768619482,0.6181818181818182,0.4909090909090909,0.09382485237230154,0.008803102922684177,0.08176608698687104,3393.934802600008
Alpelisib,0.06625565111253615,-0.03943616120041567,-0.027948020342171385,0.10923461787954049,0.011932201743289227,0.10031312065255876,3393.934802600008
Alisertib,0.26807096615535,0.22744891551815297,0.15471032992590183,0.153080482111196,0.02343363400339619,0.13020411058491765,3393.934802600008
Afatinib,0.10596126270878944,0.09992340405160653,0.06366559485530546,0.1731035817788556,0.02996485002466895,0.15060323061445202,3393.934802600008
Adavosertib,0.31046243217926345,0.3046779379732393,0.20589150503059847,0.12639305700755898,0.015975204859716055,0.10134100020942795,3393.934802600008
