Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.5162238736027038,0.5304537940596172,0.37295958572554316,0.07410004111100396,0.005490816092652477,0.05345609654783936,3452.0600231
Vincristine,0.6914239753774543,0.6845987513324197,0.48906146896096653,0.1694876279673689,0.028726056034005253,0.13920910431988417,3452.0600231
Venetoclax,0.5747779771597972,0.23505896801187134,0.15972892087105628,0.14610702512247636,0.02134726279013994,0.09850983221334636,3452.0600231
Trametinib,0.6389278336512142,0.6922645816603429,0.5084881745736276,0.17554891381362042,0.030817421141141933,0.1334545971430487,3452.0600231
Tozasertib,0.7936918725865544,0.6077922077922078,0.46666666666666673,0.1377640492032616,0.01897893325287868,0.10719748690703221,3452.0600231
Topotecan,0.6362474521556809,0.6123240037265941,0.4341409078251183,0.13753821388696155,0.018916760279215586,0.110084265969629,3452.0600231
Teniposide,0.6207614246731519,0.5616467583414554,0.4069683559401699,0.13293911558247412,0.017672808451850416,0.10103006074785373,3452.0600231
Sorafenib,0.3669870256659797,0.29549818672861977,0.2063712314080817,0.09879762292924149,0.009760970296468583,0.07001164291234874,3452.0600231
Sirolimus,0.4205639507680847,0.40951080691113206,0.28838606111603887,0.14959046004014437,0.02237730573502203,0.12049613051547817,3452.0600231
Ruxolitinib,0.5482221824885722,0.2862903010605371,0.19499291206751085,0.05940458950830392,0.003528905254650092,0.03823728340200102,3452.0600231
Pictilisib,0.2860883114364064,0.2616235177822392,0.18195488721804512,0.10546919142655573,0.011123750340171457,0.07860694336926759,3452.0600231
Pevonedistat,0.6352102527135055,0.5525864829802586,0.39137334995211803,0.11452082639311495,0.013115019677761974,0.08840400889203584,3452.0600231
Paclitaxel,0.587452885635106,0.6250635902440734,0.46096022111892115,0.2165856880307256,0.046909360259742794,0.1697533180003102,3452.0600231
Oxaliplatin,0.5383780772954853,0.5223996981803989,0.36747178206135966,0.07238733955245205,0.005239926927481989,0.0531233146751194,3452.0600231
Olaparib,0.4159196818056547,0.31952363756503754,0.2151546640507903,0.07196020981124306,0.005178271796078121,0.05098335833501414,3452.0600231
Obatoclax,0.5930809987691333,0.5367694466568058,0.37251109341221983,0.09014166408543484,0.008125519604091372,0.07241656365394772,3452.0600231
Nilotinib,0.37337964072355756,0.16341799079059222,0.11265614056864826,0.12292565529512971,0.015110716729737052,0.07729510828894366,3452.0600231
Navitoclax,0.5129037807045509,0.42367062834878166,0.29224348391263305,0.1426108416674031,0.020337852161085114,0.10761653243196327,3452.0600231
Molibresib,0.5497613158846494,0.447908561797052,0.30904806147212516,0.0940742533508412,0.008849965143518258,0.07309891036630668,3452.0600231
Linsitinib,0.46192993833899443,0.30120255796548434,0.20494192538382539,0.06656996129331835,0.004431559746593903,0.051401984607397595,3452.0600231
Lapatinib,0.5004441009962416,0.4666567211844062,0.3239585329675337,0.10440165843273212,0.010899706283504866,0.07862109926051275,3452.0600231
Ibrutinib,0.44697664669738846,0.3671031968209316,0.2426952892069171,0.11258745486229643,0.012675934992369636,0.08383042481588339,3452.0600231
Gemcitabine,0.5668768432134479,0.5057874006409466,0.3502465160448203,0.1785282608060583,0.031872339906435974,0.144967050248896,3452.0600231
Gefitinib,0.4380049798065113,0.29021667520056504,0.1906897847745206,0.10378866430200125,0.010772086837593509,0.07901224739005197,3452.0600231
Foretinib,0.39518390187146457,0.3058090251807529,0.2129211918685603,0.11279542984985756,0.01272280899501414,0.08433848909222837,3452.0600231
Erlotinib,0.562219948251504,0.49505821214485096,0.3401991741796716,0.08214601092899293,0.006747967111546226,0.06538131365458379,3452.0600231
Entinostat,0.6543600365805226,0.5999055645458319,0.42891459432815493,0.08073300648244924,0.006517818335695192,0.0622923021171887,3452.0600231
Dinaciclib,0.6153155172373298,0.6352891239755771,0.44956338452273414,0.1645144730471566,0.027065011841983618,0.13887541779101648,3452.0600231
Dasatinib,0.39637856275018846,0.3821507302287131,0.2579774042435933,0.1721021064482377,0.02961913504392054,0.14013937065928123,3452.0600231
Daporinad,0.502352511353301,0.4194514581502142,0.2890266504977888,0.18853703431331179,0.035546213307658905,0.15576627225738124,3452.0600231
Dabrafenib,0.5680983499391575,0.4430960055796032,0.2981290916659593,0.12208258530289179,0.014904157634237851,0.07573790829947392,3452.0600231
Cytarabine,0.7503923886087436,0.5636984263275853,0.4004465744026403,0.1410816359882455,0.019904028013119805,0.10953133218307756,3452.0600231
Crizotinib,0.5879205955827477,0.41625517694946595,0.28762805358550037,0.07778522151863797,0.0060505406867035795,0.057526552183750204,3452.0600231
Axitinib,0.4545168435711985,0.48700107511623936,0.34255159280724795,0.09922556406493954,0.009845712564005422,0.06902925872209081,3452.0600231
Alpelisib,0.22533604408518795,0.1979227153703724,0.13399971027089674,0.09525939841886989,0.009074352987124992,0.07808641136479683,3452.0600231
Alisertib,0.6633794661578889,0.516930136380063,0.36232694488281464,0.1365862403177393,0.018655801044135233,0.10419521080008316,3452.0600231
Afatinib,0.5164187492082593,0.516660676955472,0.35757057313943547,0.12055244562948748,0.014532892147250535,0.08471001752442711,3452.0600231
Adavosertib,0.5436575872453817,0.5152674444199868,0.36038961038961037,0.09907218200008039,0.009815297246257052,0.08077506269541539,3452.0600231
