Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.464182953,0.479940987,0.340200383,0.22257767,0.049540819,0.209684646,6590.61241
Vincristine,0.642435685,0.636072788,0.456575808,0.546114837,0.298241415,0.516037301,
Venetoclax,0.656686976,0.266254953,0.192100649,0.173400325,0.030067673,0.125861569,
Trametinib,0.70607281,0.701176921,0.510626926,0.359042234,0.128911325,0.324179167,
Tozasertib,0.29724695,0.240624418,0.189391432,0.367097164,0.134760328,0.312239981,
Topotecan,0.527629536,0.482512564,0.335226956,0.450169661,0.202652724,0.424475754,
Teniposide,0.549838793,0.379487877,0.263890322,0.39136624,0.153167534,0.36623698,
Sorafenib,0.39724695,0.340624418,0.229391432,0.175202231,0.030695822,0.148358756,
Sirolimus,0.458666726,0.36643342,0.25134565,0.293156623,0.085940806,0.257226733,
Ruxolitinib,0.564185341,0.326446007,0.226226725,0.081890177,0.006706001,0.06011015,
Pictilisib,0.230490035,0.263686266,0.176719577,0.270975691,0.073427825,0.247984722,
Pevonedistat,0.581404898,0.523553232,0.36881987,0.272457194,0.074232923,0.24506427,
Paclitaxel,0.53479417,0.593228882,0.430888259,0.593847552,0.352654916,0.553373624,
Oxaliplatin,0.513197325,0.411437247,0.283563852,0.109086561,0.011899878,0.086810856,
Olaparib,0.494049656,0.376617277,0.256832697,0.117300247,0.013759348,0.096575713,
Obatoclax,0.582492917,0.500336821,0.346683354,0.434633488,0.188906269,0.425081271,
Nilotinib,0.194879604,0.051474579,0.037596487,0.156127898,0.02437592,0.102615792,
Navitoclax,0.439778842,0.376249732,0.256151664,0.208083831,0.043298881,0.154770721,
Molibresib,0.59364436,0.410469336,0.266666877,0.167140167,0.027935836,0.142615779,
Linsitinib,0.429386355,0.28576147,0.195866547,0.096883397,0.009386393,0.074211408,
Lapatinib,0.521604062,0.484589466,0.346184895,0.172735592,0.029837585,0.142330365,
Ibrutinib,0.562855301,0.464037471,0.309958259,0.194793299,0.037944429,0.165584863,
Gemcitabine,0.605737523,0.556437311,0.390154898,0.429596215,0.184552908,0.394222507,
Gefitinib,0.434752719,0.317705265,0.219787804,0.205135149,0.04208043,0.177581464,
Foretinib,0.390137351,0.323850639,0.217599554,0.331676735,0.110009457,0.310153806,
Erlotinib,0.564365762,0.460939868,0.313085643,0.148072718,0.02192553,0.124374794,
Entinostat,0.558585411,0.420240443,0.287002476,0.264442964,0.069930081,0.249484585,
Dinaciclib,0.506733056,0.550870245,0.38329356,0.680801738,0.463491006,0.648373255,
Dasatinib,0.348322275,0.340493249,0.229650041,0.394829409,0.155890262,0.353719684,
Daporinad,0.550587777,0.496243273,0.345045861,0.340055202,0.11563754,0.2925126,
Dabrafenib,0.535090647,0.384406393,0.260437617,0.162888488,0.026532659,0.112353746,
Cytarabine,0.772016858,0.554583895,0.391515117,0.286108937,0.081858324,0.253698336,
Crizotinib,0.619223202,0.462146501,0.325340538,0.250046613,0.062523309,0.23877176,
Axitinib,0.557238749,0.523091364,0.363048989,0.186037721,0.034610034,0.163403055,
Alpelisib,0.26169625,0.246246608,0.171085035,0.192951023,0.037230097,0.168999042,
Alisertib,0.651904116,0.528908963,0.367417899,0.273750099,0.074939116,0.237485951,
Afatinib,0.535958506,0.504542901,0.349301397,0.331056517,0.109598418,0.309399236,
Adavosertib,0.377384034,0.40933304,0.285454545,0.302070701,0.091246708,0.281316413,
