Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.4278627134200358,0.43990472635489436,0.3118315884273331,0.08446151593522176,0.007133747674075719,0.06130424937828582,286.52598209999996
Vincristine,0.6117483824018711,0.5877630577128066,0.41200954266280904,0.1947137809841871,0.037913456505157976,0.15497022457432882,286.52598209999996
Venetoclax,0.3728331438478134,0.21316137583529954,0.14737655099036126,0.190380242273546,0.03624463664813407,0.14005219869338897,286.52598209999996
Trametinib,0.5537142457176903,0.5515808466779512,0.40101591054702485,0.1941963406156251,0.03771221870849988,0.1495665036109006,286.52598209999996
Tozasertib,0.36550665740568966,0.3844155844155844,0.26666666666666666,0.20676069595139873,0.042749985390306756,0.15165608958070748,286.52598209999996
Topotecan,0.5097984283710859,0.4903611559439611,0.3370091896407686,0.16393078392936852,0.026873301919697307,0.12810768916009266,286.52598209999996
Teniposide,0.3987783224838314,0.3776573211438003,0.26595196512807456,0.17206109280820878,0.02960501965835503,0.12418671653849962,286.52598209999996
Sorafenib,0.19856527401880752,0.1846290866741346,0.12099114614367502,0.10827624751423738,0.011723745775764396,0.0763275494500104,286.52598209999996
Sirolimus,0.34454657738486666,0.318747207423187,0.21622941529884818,0.15789143727602062,0.024929705965087555,0.12612585230624973,286.52598209999996
Ruxolitinib,0.41037762208311357,0.246652596735598,0.17249583008156447,0.06758267445101503,0.0045674178859518785,0.04952336724281863,286.52598209999996
Pictilisib,0.2790105723848679,0.27591229382356414,0.18830409356725147,0.12135493779015746,0.014727020926052986,0.09229406105825773,286.52598209999996
Pevonedistat,0.44294551141369803,0.3741727762105427,0.2573211058302148,0.13387292826801966,0.017921960923054335,0.10664262278840893,286.52598209999996
Paclitaxel,0.3277993620106065,0.35461092218762835,0.24723448951904856,0.2882162316710444,0.08306859619865711,0.22395846401895014,286.52598209999996
Oxaliplatin,0.36154969887283195,0.2879444608225927,0.19516085469313801,0.0898832896707252,0.008079005762031495,0.06807050814974096,286.52598209999996
Olaparib,0.28405473138177617,0.26317940058897243,0.17391304994774837,0.08373472831925641,0.0070115047266996805,0.06351750050932237,286.52598209999996
Obatoclax,0.41731558373737104,0.3845228613689189,0.26305609284332687,0.12231311667829566,0.014960498511558368,0.09720793126368565,286.52598209999996
Nilotinib,0.1860920404405561,0.17904781320391447,0.12332181068165637,0.1411669785330586,0.01992811582815303,0.09180179048309174,286.52598209999996
Navitoclax,0.2833559157915062,0.25395265236815145,0.1689297668585889,0.16639766341125947,0.027688182388726803,0.1260276822639222,286.52598209999996
Molibresib,0.5005410184479093,0.4005896502502253,0.2740278192122019,0.10473721089417415,0.010969883345890712,0.07907426525961915,286.52598209999996
Linsitinib,0.35339292638624437,0.21315018533149022,0.14688437054351816,0.07764619697116036,0.006028931904084232,0.0618379182559117,286.52598209999996
Lapatinib,0.2822022032016218,0.2813414063300821,0.19954057588303056,0.12418648414739386,0.015422282844890908,0.09122238902156697,286.52598209999996
Ibrutinib,0.2919305345807674,0.25545890289366235,0.1689922480620155,0.12517089214063912,0.01566775223928351,0.09607034246776865,286.52598209999996
Gemcitabine,0.5691660389720291,0.5482980707228174,0.39714274652388737,0.18012591103483006,0.03244534382612751,0.13521758485280969,286.52598209999996
Gefitinib,0.2880358206198691,0.21760745214445446,0.14790534572981512,0.11856379415958317,0.014057373285516008,0.09249993426729901,286.52598209999996
Foretinib,0.2980024016877548,0.2487991357101305,0.16591478696741854,0.13939324379777426,0.019430476416465732,0.1090691717279841,286.52598209999996
Erlotinib,0.4167981951612623,0.39822358636909216,0.2746845050970121,0.09463692754611983,0.008956148055369534,0.076078814516692,286.52598209999996
Entinostat,0.4627112784025891,0.44336310432189013,0.3010458629499526,0.11268812296031944,0.012698613056320071,0.08829053942576591,286.52598209999996
Dinaciclib,0.5173347053379752,0.511498568800949,0.35140018066847334,0.22873546333648953,0.05231991218775854,0.18071881176506094,286.52598209999996
Dasatinib,0.27141753575866245,0.28780139156792506,0.1958115183246073,0.20661999942844636,0.042691824163811176,0.16166331731057756,286.52598209999996
Daporinad,0.4624527598721516,0.41471020765317523,0.28821477788403094,0.1976308073726975,0.03905793602278427,0.1614778391304639,286.52598209999996
Dabrafenib,0.4153158644918651,0.3816762340954214,0.2620080954851846,0.13928925662779174,0.01940149701192282,0.08993316958903158,286.52598209999996
Cytarabine,0.7246068279070876,0.6137004164000568,0.4375826323663187,0.148615168699309,0.02208646836752407,0.11273957579341308,286.52598209999996
Crizotinib,0.3898242969562323,0.2554649033932349,0.17088821344140492,0.10406974368328599,0.010830511550304844,0.08071674347804471,286.52598209999996
Axitinib,0.39304349066083477,0.39528646273066353,0.2813936011158076,0.10601607089380688,0.011239407287760687,0.07418049633927452,286.52598209999996
Alpelisib,0.18700424440422644,0.19211595981286908,0.1325510647544546,0.10340420303831166,0.010692429205988382,0.08091692410342989,286.52598209999996
Alisertib,0.46385708552037846,0.4195963846490319,0.2911777538554491,0.16355792861947732,0.02675119601429404,0.12280038483944529,286.52598209999996
Afatinib,0.43832294252228987,0.39978032101477523,0.2774451097804391,0.14005782063443362,0.01961619312086718,0.10819006939963394,286.52598209999996
Adavosertib,0.4231608542638267,0.4216288795949813,0.291038961038961,0.1136542120984383,0.012917279927716801,0.0914132274742717,286.52598209999996
