Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.5457514863160612,0.5798965498853518,0.4159630755375436,0.07250797111173664,0.005257405874740434,0.051701605918935065,6478.0443155999965
Vincristine,0.7015538308122227,0.7103243490178164,0.5240850718237654,0.16709632910484326,0.02792118320031409,0.1327501191387432,6478.0443155999965
Venetoclax,0.6516142225929089,0.3551693050383392,0.24917711655884778,0.1356141847625769,0.018391207108818343,0.09255901826959495,6478.0443155999965
Trametinib,0.6358882607753031,0.650764793533007,0.4657131441152782,0.1778606255409679,0.03163440211782441,0.14143100053428656,6478.0443155999965
Tozasertib,0.6559124213337143,0.6298701298701298,0.4571428571428572,0.18415003950980757,0.03391123705146369,0.13512630703906514,6478.0443155999965
Topotecan,0.6725249485626519,0.6757425850840015,0.48437761069340013,0.13064259613180346,0.017067487924057507,0.102174030713748,6478.0443155999965
Teniposide,0.615049951696578,0.5811768125470349,0.42057520066765275,0.1315520785325715,0.01730594936623986,0.09909496803874115,6478.0443155999965
Sorafenib,0.27556057447154025,0.26422600238012894,0.179892597370386,0.102533871767602,0.01051319485965505,0.07183918593351594,6478.0443155999965
Sirolimus,0.383064685891113,0.3443263337489913,0.23859797550217726,0.15243586083125676,0.023236691667366284,0.12226673084632361,6478.0443155999965
Ruxolitinib,0.6363390074968471,0.4016197938920186,0.2821418024790895,0.056049460653575287,0.0031415420395566845,0.03594911177062834,6478.0443155999965
Pictilisib,0.22222202289971352,0.2735678638131105,0.18774714564188247,0.10720602682139486,0.011493132186829635,0.08037391497375358,6478.0443155999965
Pevonedistat,0.6097545648781371,0.5396504947371867,0.3802375694204352,0.11784659142130906,0.013887819109620952,0.09412696324493497,6478.0443155999965
Paclitaxel,0.6099087718911447,0.6524271574563143,0.48265499387428507,0.21370212203340477,0.04566859696158023,0.16238358910097342,6478.0443155999965
Oxaliplatin,0.5208551596983882,0.45791477469023856,0.30922319683144994,0.07344582682092221,0.005394289477408896,0.05478478445692079,6478.0443155999965
Olaparib,0.42333516047121966,0.3765358942019286,0.25934210773262095,0.07163989759629862,0.005132274927608153,0.05185322102468145,6478.0443155999965
Obatoclax,0.5818755947318597,0.5253392136996642,0.3730799863465696,0.09125653238266981,0.008327754702509264,0.07127009391182233,6478.0443155999965
Nilotinib,0.3490660760951,0.20938715659894946,0.14078684549170717,0.12307617415002536,0.01514774464340737,0.0751542602473115,6478.0443155999965
Navitoclax,0.5180978420424878,0.48067872546462576,0.33397465035470286,0.14175597764679423,0.020094757198598424,0.10153897319540578,6478.0443155999965
Molibresib,0.6209813446847117,0.516821407187066,0.3557788942966723,0.08830649862300065,0.007798037699054015,0.06848800788067841,6478.0443155999965
Linsitinib,0.5172784281963759,0.275404304473867,0.18380748357900262,0.0645338575247494,0.004164618767024654,0.048619402756251866,6478.0443155999965
Lapatinib,0.514730405765168,0.49393959659694775,0.34320482373409855,0.10379879500126897,0.01077418984371546,0.07746508495717808,6478.0443155999965
Ibrutinib,0.5079273956814523,0.39230086441164014,0.27060226595110315,0.10858123187999172,0.01178988391657653,0.08416580166137509,6478.0443155999965
Gemcitabine,0.6605385711452032,0.6471019144684172,0.4623626697066958,0.1629311591926815,0.026546562635870918,0.12963666975697752,6478.0443155999965
Gefitinib,0.39723761630464005,0.25440021140877134,0.17205785164214885,0.10677540982191029,0.011400988142636898,0.07912311444274103,6478.0443155999965
Foretinib,0.4489678171530156,0.35313676862312854,0.24099136730715676,0.10534164159714712,0.011096861454381797,0.07973981127166915,6478.0443155999965
Erlotinib,0.6408959113452017,0.5348293764811257,0.3805785528149875,0.07765720606539121,0.0060306416538826344,0.06079031246831423,6478.0443155999965
Entinostat,0.6508657448998969,0.6320697192783977,0.4506448874063003,0.08104937329732398,0.0065690009118889725,0.060154654683944625,6478.0443155999965
Dinaciclib,0.7069856084566942,0.7268858632361425,0.5302619692863595,0.14715267234290147,0.02165390897765732,0.1172114508151424,6478.0443155999965
Dasatinib,0.4254940591191253,0.4104643152383577,0.28531275833562963,0.16971613345882547,0.028803565956213854,0.133287913457676,6478.0443155999965
Daporinad,0.5962713589111077,0.5488659763735024,0.3843404953529585,0.17412749420926693,0.030320384239598288,0.1435003097160757,6478.0443155999965
Dabrafenib,0.49587426770661247,0.38492600405206945,0.2578201538990078,0.12738324487675226,0.01622649107533063,0.07941661897836921,6478.0443155999965
Cytarabine,0.7893431731867948,0.6297157608058026,0.4539177971035064,0.13073270545533514,0.01709104027567141,0.10197434420799276,6478.0443155999965
Crizotinib,0.6056370618781133,0.3871860502319629,0.26409996622762577,0.0757960631937404,0.005745043195669488,0.05805525887803537,6478.0443155999965
Axitinib,0.5273959900366609,0.49061395305783173,0.34845573408164926,0.09501804197818188,0.009028428301367535,0.06675837725849335,6478.0443155999965
Alpelisib,0.23930079540950702,0.20504420803523496,0.13226133565116616,0.09445043144006342,0.00892088399921412,0.07753046795427374,6478.0443155999965
Alisertib,0.669790478233733,0.5760125107461769,0.405537971894199,0.13426441886047982,0.018026934171942368,0.10053100287440912,6478.0443155999965
Afatinib,0.5108799746888008,0.503447036611477,0.3433133732534931,0.12092594333733026,0.014623083772023208,0.0860248880262801,6478.0443155999965
Adavosertib,0.5634592364281745,0.5660488663878495,0.40259740259740256,0.09776723609586425,0.009558432453824463,0.0771557741782163,6478.0443155999965
