Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.4169622643863252,0.43216092495524905,0.34022266726304756,0.07965126421342082,0.006344323890796174,0.05783111238849909,2514.373751500003
Vincristine,0.5383750065827457,0.5082449909102552,0.4134857729469228,0.19722229837813002,0.03889663497755215,0.16081728155044658,2514.373751500003
Venetoclax,0.3151176207428503,0.21628645136661515,0.1840109395608022,0.17105352424710807,0.029259308157355987,0.10855128894412663,2514.373751500003
Trametinib,0.2654982766373856,0.24456600499453618,0.19722076574272823,0.2190604915437476,0.047987498955388314,0.17735794370330016,2514.373751500003
Tozasertib,0.22929074266417895,0.2535867111969667,0.2050271318502639,0.20668237792436542,0.04271760534447021,0.1559634420165572,2514.373751500003
Topotecan,0.28280768439301374,0.2891805066935218,0.22875135442695582,0.17083937315725764,0.02918609142076472,0.13342795716457648,2514.373751500003
Teniposide,0.3548202465798064,0.2417725133018705,0.19679319967380302,0.1687977631042562,0.028492684829000595,0.12287781881710252,2514.373751500003
Sorafenib,0.2391826980967719,0.17133865841589288,0.13696834032422708,0.10309650835122022,0.010628890034213221,0.0740371691706915,2514.373751500003
Sirolimus,0.3569206939773917,0.22254702467038454,0.1787376282715295,0.15410415855213647,0.023748091683062016,0.12425355741971891,2514.373751500003
Ruxolitinib,0.6709335184643807,0.35314899078269196,0.2905429373826332,0.05375504678856929,0.002889605055241273,0.03642462703328803,2514.373751500003
Pictilisib,0.02073574311265283,0.10239623102077533,0.08189051342821942,0.11446677680229116,0.01310264299150554,0.08631788330267189,2514.373751500003
Pevonedistat,0.49581815870583895,0.476514973084403,0.3704686816701571,0.1284601746516183,0.016502016471524276,0.1014616440855127,2514.373751500003
Paclitaxel,0.36680723671648474,0.3754416158401913,0.2945065765555427,0.2558661371351529,0.06546748013246487,0.2059251016923071,2514.373751500003
Oxaliplatin,0.4436012973479915,0.4761188372931788,0.3804639572726251,0.07868873526783103,0.006191917058050794,0.055465285921948944,2514.373751500003
Olaparib,0.2931273220837332,0.16920445938580964,0.13501504001569067,0.07676644037177502,0.00589308636735329,0.055768984986981775,2514.373751500003
Obatoclax,0.40974120068179615,0.3652359613578464,0.2857046839557627,0.1027645332149992,0.010560549286896675,0.0817870143770667,2514.373751500003
Nilotinib,0.48643055420571,0.2284137392081915,0.1924501562199916,0.13203580351071448,0.017433453408720004,0.07713651775223156,2514.373751500003
Navitoclax,0.3991453227947317,0.31307349858875727,0.24740605007916835,0.15482875990378228,0.023971944893343058,0.11512978827020912,2514.373751500003
Molibresib,0.5441991132145003,0.45364890947364434,0.3622904835155484,0.09578827457352324,0.00917539354577268,0.0723656410566195,2514.373751500003
Linsitinib,0.04731187652775528,0.17059477821984076,0.13313280110266978,0.08139642246720916,0.006625377590460391,0.056484749498976014,2514.373751500003
Lapatinib,0.4451001902321797,0.457187451037988,0.3672548224745843,0.10801716177947972,0.011667707238894293,0.07962991926059669,2514.373751500003
Ibrutinib,0.11691433329548553,0.16916190027709124,0.13320410891258322,0.12895371308353112,0.016629060118029663,0.09148464419962085,2514.373751500003
Gemcitabine,0.37386475707269745,0.369990106229659,0.2894523522264919,0.20453562745741807,0.041834822899399715,0.1654482070401171,2514.373751500003
Gefitinib,0.298117722409701,0.23313689761602815,0.18782061579290352,0.11046012117787093,0.01220143837062993,0.07964394175775821,2514.373751500003
Foretinib,0.22710139906955884,0.22288676042966346,0.1826360902575454,0.11837127007550922,0.014011757579289144,0.08667938743997948,2514.373751500003
Erlotinib,0.5503447294901203,0.42628675435698177,0.34762521515549405,0.08131933405066101,0.006612834090442996,0.06529890967992782,2514.373751500003
Entinostat,0.5448595105754406,0.5309999979677554,0.42804627354339464,0.08882132023965458,0.007889226929115272,0.06490061552899072,2514.373751500003
Dinaciclib,0.3751051631231728,0.35202317703164054,0.2768583107528015,0.19630395988255628,0.03853524466557227,0.16318678756513413,2514.373751500003
Dasatinib,0.14148784761806857,0.11925422866393268,0.09183251200191886,0.1904876796032915,0.03628555608064623,0.15490632429299875,2514.373751500003
Daporinad,0.27466629885666516,0.26551156570036377,0.21242452865895436,0.20924063034827126,0.04378164138854189,0.16579699056539965,2514.373751500003
Dabrafenib,0.3571537450366219,0.3612238505294216,0.2890940191054652,0.15202453336074695,0.023111458743552863,0.09148941199487731,2514.373751500003
Cytarabine,0.7234783562756837,0.604971446813653,0.4907437447330885,0.14658623403989063,0.02148752400999759,0.10601062249313867,2514.373751500003
Crizotinib,0.5571670365982492,0.44418322837157065,0.35750109874861563,0.07962498125466368,0.006340137639805542,0.059685899401554394,2514.373751500003
Axitinib,0.3997843967471709,0.30832993787633234,0.24361916271649844,0.10254438561816241,0.010515351021806394,0.07734948801727749,2514.373751500003
Alpelisib,-0.04578354419082914,0.041545020567478184,0.033620634300981236,0.1168532781091069,0.013654688604844282,0.0862180120771388,2514.373751500003
Alisertib,0.5249815855019204,0.4299839423201431,0.34751444622373506,0.152481312819204,0.023250550759067946,0.11533052778378622,2514.373751500003
Afatinib,0.30173091751478887,0.3967385000367831,0.30741915548433835,0.13571607502881292,0.018418853021226377,0.0979495987634396,2514.373751500003
Adavosertib,0.28291664257579696,0.28313938324677723,0.22697112618761875,0.11493630923447513,0.013210355180442895,0.09106816717785371,2514.373751500003
