Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.4652856694078116,0.5150132267194408,0.40438111448548586,0.07721012464004194,0.005961403346930813,0.05492180988430415,10754.9713189
Vincristine,0.6044934360166118,0.5790465402165552,0.45520441080345947,0.1874699485264036,0.03514498160049242,0.15068836617872827,10754.9713189
Venetoclax,0.6154966892954196,0.5296791882136267,0.43618712168098084,0.16389424630332372,0.026861323971334543,0.09334029283055703,10754.9713189
Trametinib,0.477316603652985,0.4947560773246707,0.38316911321890645,0.20138677971928753,0.040556635045704836,0.1565327575566075,10754.9713189
Tozasertib,0.5530875433650233,0.47343073283823656,0.38491981672307085,0.1902006477673385,0.036176286411115165,0.15436473908671985,10754.9713189
Topotecan,0.5720170681510087,0.5480979976494835,0.4388867305311483,0.14463269903775253,0.0209186176309451,0.1146706001226277,10754.9713189
Teniposide,0.3971957663556869,0.37653526259620723,0.3029975525378046,0.16412769532323884,0.02693790037211792,0.1205743783124269,10754.9713189
Sorafenib,0.4851441585074894,0.17957016871923473,0.14759602493869686,0.09351961002394638,0.008745917459031012,0.07107667292170301,10754.9713189
Sirolimus,0.2826405138249359,0.26562831267102677,0.20823857990888664,0.16317767092783017,0.02662695228943123,0.12878244831460336,10754.9713189
Ruxolitinib,0.560738449358918,0.28020811146029556,0.22909587875480938,0.058733811979163435,0.003449660669603722,0.038461614519653665,10754.9713189
Pictilisib,0.09056879993413011,0.15673227146783023,0.12441720623612455,0.1144393866994547,0.013096373228147332,0.08616153061980447,10754.9713189
Pevonedistat,0.5411571480726161,0.3876778950124958,0.30429641412001285,0.12409574896110216,0.01539975491021689,0.09917917997003554,10754.9713189
Paclitaxel,0.45858391523068165,0.4775127428783576,0.3851642779249164,0.24363100556313802,0.05935606687170578,0.20002946317647638,10754.9713189
Oxaliplatin,0.5066355255580586,0.4714965902403557,0.36843697783146784,0.07518864652301935,0.00565333256596355,0.05504050097394236,10754.9713189
Olaparib,0.18983446026356288,0.21296744417442942,0.17223355590248945,0.07927091772756364,0.006283878397370163,0.05541285813236576,10754.9713189
Obatoclax,0.4637949985551128,0.37842104155719575,0.2986491734060867,0.0999970291834648,0.009999405845518712,0.07895539497634911,10754.9713189
Nilotinib,0.44318200665915847,0.13863062496789735,0.11644748075744536,0.13077559922264342,0.017102257352041454,0.07441220165805779,10754.9713189
Navitoclax,0.27263365041570087,0.22682458678011336,0.18228207803837068,0.1668859359347238,0.027850915612808738,0.11913118569727373,10754.9713189
Molibresib,0.5268272523723164,0.519691941726101,0.41501267571751704,0.0978538340167978,0.009575372831787013,0.07359107436793035,10754.9713189
Linsitinib,0.39223774078491225,0.28397128693352847,0.23061683818634204,0.07080841612538281,0.005013831794185373,0.05218079875039994,10754.9713189
Lapatinib,0.400069171481785,0.3944668954827325,0.323542297125642,0.10975784104692783,0.012046783671282675,0.08152433443518613,10754.9713189
Ibrutinib,0.46456026931179917,0.3495402991558793,0.2738994671801312,0.11139689084613924,0.012409267290186661,0.08548513507618297,10754.9713189
Gemcitabine,0.5359547001877458,0.5309803283555891,0.4209410324104561,0.18403790810935103,0.03386995162126594,0.14693652457934359,10754.9713189
Gefitinib,0.36072629971824255,0.32032869110019857,0.2511729595141675,0.10882615297433652,0.011843131571193695,0.08020872604013032,10754.9713189
Foretinib,0.34542927078391145,0.22048711658182324,0.180500207009457,0.11514189571908917,0.013257656149785604,0.08513985886537538,10754.9713189
Erlotinib,0.37942058717784033,0.3448635208149921,0.2693211987424123,0.09053174601387123,0.008195997036320091,0.07179340059045006,10754.9713189
Entinostat,0.5228316659366108,0.46246028789944454,0.36313577244130035,0.0909871042378934,0.00827865313759728,0.06883339455136567,10754.9713189
Dinaciclib,0.4935467110133375,0.5218533843378609,0.40485761363668654,0.18284686652082002,0.033432976596482575,0.1495382304462563,10754.9713189
Dasatinib,0.227431586463952,0.23410581076349596,0.1837769823651885,0.1890951221265029,0.03575696521203704,0.14933936285978935,10754.9713189
Daporinad,0.49827714215197694,0.4788146125340604,0.38951988679046173,0.18770644764569663,0.035233710487766655,0.1513337783503743,10754.9713189
Dabrafenib,0.30593747459570864,0.1751827736009989,0.14410699543471994,0.14031773248080467,0.01968906604855467,0.08464401584325572,10754.9713189
Cytarabine,0.739919121305369,0.6128861750385514,0.49786490838131003,0.14321812315050333,0.020511430798752738,0.10671832853657166,10754.9713189
Crizotinib,0.5565678929637298,0.4707150477121959,0.3746279851574651,0.08013891739258881,0.006422246080856173,0.06111418621786718,10754.9713189
Axitinib,0.3306771909269139,0.4245182292992382,0.33744449810546756,0.11000521026679087,0.012101146285840874,0.07557777730521197,10754.9713189
Alpelisib,0.19265396938724683,0.32818426411617696,0.26871469771487994,0.11329762888301426,0.012836352710513225,0.07996866718210874,10754.9713189
Alisertib,0.5777852610658913,0.5138098951906744,0.40732787111409646,0.14677343926167707,0.02154244247270121,0.11184536853687194,10754.9713189
Afatinib,0.4215004417749075,0.4168472049536914,0.3264520499494054,0.12746192936026107,0.016246543436240185,0.09002509358848469,10754.9713189
Adavosertib,0.5120897242390496,0.491235777221451,0.39452825545558196,0.1013090348852503,0.010263520549380862,0.07978101779775502,10754.9713189
