Drugs,pearsonCor,spearmanCor,kendallCor,RMSE,MSE,MAE,Time
Vorinostat,0.4223503018033427,0.4796343562415219,0.371240365914348,0.07930913017255012,0.006289938128726499,0.05796760653193118,5807.5364232
Vincristine,0.5673990592083578,0.5298421708742217,0.4162042465839483,0.1955574797337774,0.03824272787982676,0.15883232286408994,5807.5364232
Venetoclax,0.6438313184924558,0.4393673970187139,0.37297453223590304,0.14211730312006682,0.020197327846120952,0.08318324114892629,5807.5364232
Trametinib,0.35618031298746666,0.3105012829235169,0.2470705794892654,0.2206821289637362,0.0487006020439671,0.1777123282001585,5807.5364232
Tozasertib,0.36133529790182517,0.4291662538799944,0.32463590555874267,0.18868984231969124,0.035603856594629946,0.15288036381560366,5807.5364232
Topotecan,0.5582108776311291,0.543642096267045,0.43629034654682697,0.14635641208715078,0.021420199359023895,0.1161980204801598,5807.5364232
Teniposide,0.2912946688188302,0.3380637608960016,0.2734849108429406,0.18583645210682206,0.034535186931651175,0.12816384934268596,5807.5364232
Sorafenib,0.39304258145535714,0.19690790705398145,0.16161689525614964,0.09762957735744361,0.009531534374993066,0.07107487409443748,5807.5364232
Sirolimus,0.33455116249322325,0.27807273393703424,0.22321012781014554,0.15892167410465785,0.02525609850022708,0.12654117263135398,5807.5364232
Ruxolitinib,0.39235632110130764,0.25925430935287436,0.21139187500170847,0.07175727844467304,0.005149107009786339,0.04204649306430732,5807.5364232
Pictilisib,0.07065580846697408,0.13493581171177418,0.10940076564072243,0.1181044367838285,0.013948657988025342,0.08728770159454805,5807.5364232
Pevonedistat,0.5567787983136929,0.4277083077191039,0.3391004349721756,0.12267707206752594,0.015049664011060955,0.0969140729214798,5807.5364232
Paclitaxel,0.38962820150985444,0.3882605426392802,0.3124212623183683,0.253846542609431,0.06443806719476168,0.2011489190282087,5807.5364232
Oxaliplatin,0.49053034224193504,0.4656846349366939,0.3650281266734923,0.07605957630675392,0.005785059147962921,0.05503590428906047,5807.5364232
Olaparib,0.232111011746439,0.295447432603859,0.23663440525902368,0.09265566752378211,0.008585072724277651,0.06213020915000624,5807.5364232
Obatoclax,0.4637949985551124,0.37842104155719575,0.2986491734060867,0.0999970291834648,0.00999940584551871,0.07895539497634911,5807.5364232
Nilotinib,0.2680601515997423,0.13819417906234294,0.11565004569917753,0.14271140533515417,0.020366545212734666,0.07787316408432819,5807.5364232
Navitoclax,0.21508123976320775,0.2785353881851212,0.2223654462920392,0.17225611400252477,0.02967216881125081,0.12349807991630585,5807.5364232
Molibresib,0.48288027772403525,0.397418302775403,0.3158793998865067,0.09938766586274876,0.009877908125645395,0.0739144669073063,5807.5364232
Linsitinib,0.22160623073184188,0.22188169639042757,0.18082725160818716,0.07605635949835915,0.005784569820143646,0.054860684582150675,5807.5364232
Lapatinib,0.2768944172854435,0.2541916817923697,0.2078120260332626,0.11561746041076844,0.013367397151835606,0.08699694047397863,5807.5364232
Ibrutinib,0.27147606075749664,0.34584276204754705,0.26795248351713874,0.12447676202413141,0.015494464284012244,0.09001146459081842,5807.5364232
Gemcitabine,0.535954700187746,0.5309803283555891,0.4209410324104561,0.18403790810935097,0.033869951621265916,0.14693652457934359,5807.5364232
Gefitinib,0.27559411751323215,0.3167990292859377,0.24877267184645535,0.11384544696646999,0.012960785794995332,0.08092513896507117,5807.5364232
Foretinib,0.36820123525923276,0.32457574458376315,0.26594802666879713,0.10952648533053774,0.0119960509888605,0.08068162369790323,5807.5364232
Erlotinib,0.3438768996442043,0.31611882888901766,0.24676362864087595,0.09515238463922633,0.009053976302531274,0.07213844820356247,5807.5364232
Entinostat,0.44487726561632096,0.3952671632470994,0.31060491138977725,0.09630113697834786,0.009273908983322516,0.07211721411858724,5807.5364232
Dinaciclib,0.46421134832493205,0.510376461744485,0.3953570152141194,0.18494189373827402,0.03420350405949904,0.15235143208545207,5807.5364232
Dasatinib,0.15693824704220202,0.2166243087342824,0.16654342767654096,0.19524878119058656,0.03812208655640955,0.15315098241642172,5807.5364232
Daporinad,0.5036267163724256,0.4711655313228715,0.3806041310231443,0.1872147967466249,0.03504938012088007,0.14624018111430181,5807.5364232
Dabrafenib,0.3213784925400968,0.2370211772790385,0.19330504924335504,0.13924373708154292,0.01938881831643385,0.08302745037761099,5807.5364232
Cytarabine,0.7271001434090097,0.6140570455629427,0.4988166237655091,0.1466453945715283,0.02150487174903923,0.108524540267126,5807.5364232
Crizotinib,0.3391183421178451,0.46606060558904555,0.3674042612374164,0.10310101658498942,0.010629819620858263,0.0703339890773515,5807.5364232
Axitinib,0.3256913378750246,0.3825631781616377,0.3109135902781202,0.11510447118540967,0.013249039286872806,0.07775551500302263,5807.5364232
Alpelisib,-0.06277050145659313,0.007296055021454819,0.005746782142789843,0.1163759122875366,0.013543352960756412,0.08842970724125998,5807.5364232
Alisertib,0.5391585508802439,0.41121170290688275,0.3291825566796648,0.15155605515856552,0.02296923785522615,0.11262099155568504,5807.5364232
Afatinib,0.41798949421999865,0.47422711697415276,0.36777295834067525,0.1325454064479093,0.017568284770441478,0.09489794410399711,5807.5364232
Adavosertib,0.449227380194939,0.37437053618507266,0.2991550236548581,0.10580471499990798,0.011194637716211753,0.08580165632580744,5807.5364232
