,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,5290,PIK3CA,-,1251,777,0,24249715,(p=6.56e-05),,21358673,(p=6.63e-05),,23903756,(p=6.69e-05),,22188813,(p=7.06e-05),,25491778,(p=7.12e-05),,24451154,(p=7.16e-05),,27864574,(p=7.20e-05),,23136191,(p=7.43e-05),,26733612,(p=7.51e-05),,23826249,(p=7.58e-05),
2,2,2475,MTOR,-,1679,783,0,25491778,(p=7.12e-05),,28468774,(p=7.26e-05),,20630061,(p=7.39e-05),,24562770,(p=7.96e-05),,24011934,(p=8.30e-05),,24323026,(p=8.32e-05),,25952930,(p=8.35e-05),,23832540,(p=8.64e-05),,25023728,(p=8.77e-05),,20811722,(p=8.78e-05),
3,3,207,AKT1,-,2893,1065,0,18725974,(p=7.74e-05),,24562770,(p=7.96e-05),,27388585,(p=8.21e-05),,27197157,(p=8.50e-05),,23888070,(p=8.56e-05),,23319332,(p=8.63e-05),,23832540,(p=8.64e-05),,25023728,(p=8.77e-05),,24774538,(p=9.09e-05),,23167739,(p=9.21e-05),
4,4,1956,EGFR,-,4828,1775,0,25766325,(p=8.09e-05),,28446642,(p=8.40e-05),,19020749,(p=8.48e-05),,25077897,(p=8.50e-05),,21278786,(p=8.65e-05),,23877316,(p=8.68e-05),,21258250,(p=8.78e-05),,26895469,(p=8.81e-05),,24667376,(p=8.82e-05),,27121230,(p=8.96e-05),
5,5,5728,PTEN,-,1903,651,0,21358673,(p=6.63e-05),,19055754,(p=7.93e-05),,27388585,(p=8.21e-05),,19435893,(p=8.54e-05),,28196852,(p=8.83e-05),,26247526,(p=8.96e-05),,24356815,(p=9.17e-05),,20813970,(p=9.29e-05),,23989949,(p=9.32e-05),,25051360,(p=9.41e-05),
6,6,4233,MET,-,1039,320,0,26580964,(p=8.57e-05),,23348694,(p=9.68e-05),,27185371,(p=9.88e-05),,26301867,(p=9.91e-05),,23381625,(p=1.00e-04),,22238368,(p=1.01e-04),,27573171,(p=2.02e-04),,24122793,(p=2.02e-04),,22590625,(p=2.03e-04),,23992325,(p=2.05e-04),
7,7,2064,ERBB2,-,2547,778,0,28468774,(p=7.26e-05),,18725974,(p=7.74e-05),,27602761,(p=7.84e-05),,25766325,(p=8.09e-05),,24323026,(p=8.32e-05),,21278786,(p=8.65e-05),,27358485,(p=8.71e-05),,19934303,(p=8.94e-05),,26247526,(p=8.96e-05),,26333383,(p=8.98e-05),
8,8,80243,PREX2,-,28,8,0,19729658,(p=4.08e-04),,24375644,(p=6.00e-04),,25829446,(p=6.01e-04),,24367090,(p=1.90e-03),,17565979,(p=2.50e-03),,26795161,(p=4.80e-03),,26718453,(p=5.30e-03),,19861688,(p=9.10e-03),,NA,,NA,
9,9,3845,KRAS,-,2028,531,0,20124452,(p=7.26e-05),,24011934,(p=8.30e-05),,26479291,(p=8.85e-05),,27121230,(p=8.96e-05),,25326806,(p=9.10e-05),,20937558,(p=9.13e-05),,22675430,(p=9.39e-05),,24374738,(p=9.61e-05),,23908594,(p=9.83e-05),,25444464,(p=9.94e-05),
10,10,84335,AKT1S1,-,53,9,0,21886838,(p=4.05e-04),,16174443,(p=4.07e-04),,19446321,(p=2.50e-03),,17277771,(p=2.70e-03),,21906675,(p=4.20e-03),,24704832,(p=5.00e-03),,26876154,(p=6.00e-03),,22354785,(p=6.60e-03),,14973226,(p=9.40e-03),,NA,
11,11,29904,EEF2K,-,69,10,0,25330770,(p=2.06e-04),,26918606,(p=2.11e-04),,22911754,(p=4.07e-04),,24955726,(p=1.20e-03),,16921268,(p=3.40e-03),,25215932,(p=6.00e-03),,11500364,(p=6.60e-03),,29094413,(p=7.60e-03),,28502587,(p=9.00e-03),,21278783,(p=9.80e-03),
