,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,2475,MTOR,-,1679,451,0,20207176,(p=7.82e-05),,20630061,(p=8.01e-05),,24886512,(p=8.27e-05),,20884115,(p=8.30e-05),,17935273,(p=8.62e-05),,23797151,(p=8.73e-05),,25862847,(p=8.78e-05),,26346135,(p=9.32e-05),,24323026,(p=9.85e-05),,24480319,(p=9.91e-05),
2,2,1956,EGFR,-,4828,1104,0,26768483,(p=8.23e-05),,20395213,(p=8.62e-05),,28822888,(p=8.91e-05),,17610986,(p=9.07e-05),,26043909,(p=9.09e-05),,18263768,(p=9.41e-05),,27177865,(p=9.98e-05),,18379357,(p=2.02e-04),,22895139,(p=2.04e-04),,25077897,(p=2.05e-04),
3,3,7422,VEGFA,-,4154,560,1.154e-304,20485168,(p=7.19e-05),,27727447,(p=7.58e-05),,25889301,(p=9.29e-05),,26346135,(p=9.32e-05),,20502715,(p=9.41e-05),,19284623,(p=9.63e-05),,17949520,(p=9.65e-05),,26619847,(p=9.76e-05),,26802156,(p=9.85e-05),,27177865,(p=9.98e-05),
4,4,3791,KDR,-,875,242,2.416e-274,20485168,(p=7.19e-05),,27059553,(p=7.33e-05),,27789775,(p=8.01e-05),,26619847,(p=9.76e-05),,18379357,(p=2.02e-04),,28220020,(p=2.04e-04),,20190562,(p=2.09e-04),,25340839,(p=2.09e-04),,25787923,(p=2.10e-04),,19636022,(p=2.12e-04),
5,5,4233,MET,-,1039,227,2.484e-238,27789775,(p=8.01e-05),,26580964,(p=2.07e-04),,26301867,(p=2.09e-04),,23548264,(p=2.15e-04),,21383285,(p=3.02e-04),,24786972,(p=3.03e-04),,23381625,(p=4.01e-04),,23992325,(p=7.00e-04),,28341789,(p=8.01e-04),,23348694,(p=9.04e-04),
6,6,2064,ERBB2,-,2547,301,1.136e-209,24323026,(p=9.85e-05),,28464908,(p=1.01e-04),,26964772,(p=2.13e-04),,25694417,(p=2.13e-04),,22412143,(p=2.15e-04),,25524798,(p=3.01e-04),,17473658,(p=3.03e-04),,26107737,(p=3.04e-04),,24044505,(p=3.05e-04),,23908594,(p=4.01e-04),
7,7,3845,KRAS,-,2028,226,2.001e-174,20395213,(p=8.62e-05),,19884551,(p=2.10e-04),,20159991,(p=2.10e-04),,20530271,(p=2.12e-04),,22982650,(p=2.13e-04),,26840022,(p=2.14e-04),,25444464,(p=3.01e-04),,20631636,(p=3.01e-04),,26446234,(p=3.03e-04),,25577224,(p=3.04e-04),
8,8,5290,PIK3CA,-,1251,169,5.882e-161,27864574,(p=9.19e-05),,24323026,(p=9.85e-05),,21358673,(p=2.12e-04),,27573562,(p=3.02e-04),,23626817,(p=8.00e-04),,21258250,(p=8.01e-04),,24011934,(p=9.02e-04),,22675430,(p=9.06e-04),,26947331,(p=9.06e-04),,23903756,(p=1.00e-03),
9,9,207,AKT1,-,2893,249,2.171e-160,19409087,(p=2.09e-04),,20159991,(p=2.10e-04),,22539090,(p=3.01e-04),,24774538,(p=3.04e-04),,26150526,(p=4.00e-04),,25023728,(p=4.01e-04),,23626817,(p=8.00e-04),,23167739,(p=9.01e-04),,25416439,(p=9.01e-04),,23812726,(p=9.02e-04),
10,10,3480,IGF1R,-,955,133,4.317e-140,25617986,(p=2.07e-04),,23818948,(p=2.11e-04),,17047074,(p=2.13e-04),,26850678,(p=3.05e-04),,28498399,(p=8.01e-04),,16113100,(p=9.06e-04),,25081930,(p=1.00e-03),,25175038,(p=1.00e-03),,26342551,(p=1.00e-03),,22044563,(p=1.30e-03),
11,11,2321,FLT1,-,634,102,6.662e-124,26526582,(p=8.43e-05),,28220020,(p=2.04e-04),,25340839,(p=2.09e-04),,26394830,(p=2.11e-04),,19834490,(p=3.05e-04),,18694994,(p=4.01e-04),,23475388,(p=8.01e-04),,23172303,(p=8.02e-04),,20026801,(p=9.06e-04),,27590851,(p=9.06e-04),
12,12,3091,HIF1A,-,2688,172,3.399e-113,19435875,(p=2.05e-04),,25100134,(p=3.03e-04),,16596228,(p=3.04e-04),,26063890,(p=9.01e-04),,27821815,(p=9.03e-04),,21343371,(p=9.05e-04),,24952732,(p=9.06e-04),,25748238,(p=1.10e-03),,19121088,(p=1.30e-03),,20574527,(p=1.50e-03),
13,13,7424,VEGFC,-,400,78,2.172e-109,11877295,(p=3.05e-04),,20429915,(p=9.02e-04),,21600223,(p=9.03e-04),,24508126,(p=1.00e-03),,16525637,(p=1.30e-03),,19828679,(p=1.30e-03),,14744769,(p=1.50e-03),,22199311,(p=1.70e-03),,12594815,(p=2.40e-03),,21482472,(p=2.50e-03),
14,14,6774,STAT3,-,2272,152,1.23e-108,28376152,(p=2.08e-04),,25609248,(p=3.03e-04),,26833481,(p=3.05e-04),,26921327,(p=9.02e-04),,24402583,(p=9.03e-04),,23526220,(p=9.05e-04),,20053726,(p=9.05e-04),,21343371,(p=9.05e-04),,27264264,(p=1.00e-03),,26542452,(p=1.30e-03),
15,15,2065,ERBB3,-,443,79,3.202e-107,24044505,(p=3.05e-04),,21278786,(p=1.00e-03),,25249538,(p=1.00e-03),,26034219,(p=1.10e-03),,26595522,(p=1.10e-03),,22213458,(p=1.30e-03),,25471734,(p=1.50e-03),,24189400,(p=1.50e-03),,24667376,(p=1.60e-03),,24282274,(p=1.70e-03),
