,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,238,ALK,-,529,344,0,25727400,(p=7.64e-05),,24443522,(p=7.92e-05),,26992917,(p=7.93e-05),,26719536,(p=8.09e-05),,19667264,(p=8.18e-05),,25228534,(p=8.97e-05),,26537995,(p=9.07e-05),,26973202,(p=9.18e-05),,21720997,(p=9.18e-05),,21757253,(p=9.24e-05),
2,2,1956,EGFR,-,4828,2231,0,24443522,(p=7.92e-05),,26992917,(p=7.93e-05),,19667264,(p=8.18e-05),,26537995,(p=9.07e-05),,21720997,(p=9.18e-05),,26381283,(p=9.39e-05),,26043909,(p=9.40e-05),,17473658,(p=9.42e-05),,26768483,(p=9.43e-05),,24349229,(p=9.46e-05),
3,3,4233,MET,-,1039,367,0,26580964,(p=9.66e-05),,23919423,(p=9.73e-05),,23841470,(p=1.06e-04),,18379349,(p=1.07e-04),,24386407,(p=3.01e-04),,26301867,(p=3.02e-04),,19381876,(p=3.03e-04),,25310337,(p=3.04e-04),,26791795,(p=3.04e-04),,24722154,(p=3.04e-04),
4,4,3845,KRAS,-,2028,576,0,19667264,(p=8.18e-05),,21720997,(p=9.18e-05),,26789109,(p=9.72e-05),,23919423,(p=9.73e-05),,19247083,(p=1.01e-04),,23841470,(p=1.06e-04),,25691052,(p=1.07e-04),,20395213,(p=1.07e-04),,19238210,(p=2.01e-04),,22135231,(p=3.00e-04),
5,5,2064,ERBB2,-,2547,596,0,17473658,(p=9.42e-05),,18408761,(p=1.01e-04),,23841470,(p=1.06e-04),,19238210,(p=2.01e-04),,26483338,(p=3.02e-04),,26964772,(p=3.06e-04),,20459769,(p=4.05e-04),,19473722,(p=4.05e-04),,23470965,(p=4.06e-04),,18650488,(p=4.08e-04),
6,6,5290,PIK3CA,-,1251,300,3.396e-296,26853422,(p=1.02e-04),,21258250,(p=1.06e-04),,23136191,(p=1.08e-04),,22135231,(p=3.00e-04),,24468202,(p=4.00e-04),,28285689,(p=4.04e-04),,23392229,(p=4.04e-04),,23564819,(p=4.08e-04),,24533074,(p=4.11e-04),,26670666,(p=4.14e-04),
7,7,673,BRAF,-,1852,321,1.622e-264,23841470,(p=1.06e-04),,27283860,(p=3.06e-04),,24297085,(p=4.00e-04),,27912827,(p=4.06e-04),,23242808,(p=4.09e-04),,28135039,(p=4.10e-04),,22773810,(p=4.10e-04),,25689095,(p=4.14e-04),,23744164,(p=4.16e-04),,21936566,(p=4.19e-04),
8,8,207,AKT1,-,2893,306,3.144e-199,20159991,(p=3.06e-04),,26150526,(p=3.06e-04),,24468202,(p=4.00e-04),,23249714,(p=4.08e-04),,20216471,(p=4.15e-04),,23792604,(p=4.18e-04),,17097759,(p=4.19e-04),,26269114,(p=4.19e-04),,25323938,(p=5.01e-04),,24399305,(p=6.01e-04),
9,9,2475,MTOR,-,1679,230,5.49e-195,26639561,(p=3.06e-04),,16467080,(p=4.06e-04),,27472392,(p=5.01e-04),,25228590,(p=5.02e-04),,20811722,(p=6.01e-04),,19090006,(p=6.02e-04),,21980128,(p=8.01e-04),,24718901,(p=8.01e-04),,20630061,(p=8.01e-04),,25978653,(p=8.03e-04),
10,10,2065,ERBB3,-,443,125,5.218e-175,25249545,(p=4.14e-04),,24044505,(p=4.14e-04),,24189400,(p=4.18e-04),,25993617,(p=5.01e-04),,17463250,(p=5.03e-04),,17631905,(p=5.04e-04),,23998444,(p=5.05e-04),,19447869,(p=6.03e-04),,20038315,(p=8.01e-04),,26595522,(p=8.01e-04),
11,11,3480,IGF1R,-,955,163,7.3e-174,25617986,(p=3.05e-04),,17047074,(p=4.05e-04),,24458568,(p=4.05e-04),,26342551,(p=4.12e-04),,23619944,(p=4.12e-04),,25118293,(p=4.17e-04),,25081930,(p=4.18e-04),,27177336,(p=4.18e-04),,19806209,(p=5.01e-04),,23817810,(p=5.02e-04),
12,12,6774,STAT3,-,2272,229,3.247e-167,28376152,(p=3.00e-04),,24401319,(p=4.05e-04),,27419630,(p=4.09e-04),,27264264,(p=4.10e-04),,26781210,(p=4.11e-04),,23894143,(p=4.15e-04),,22319590,(p=4.16e-04),,24117170,(p=4.17e-04),,24189400,(p=4.18e-04),,24280348,(p=4.18e-04),
13,13,3815,KIT,-,935,153,4.663e-164,26544626,(p=4.18e-04),,19861442,(p=8.01e-04),,26934000,(p=9.00e-04),,19540337,(p=9.01e-04),,19755855,(p=1.00e-03),,28760855,(p=1.00e-03),,14657715,(p=1.00e-03),,19047099,(p=1.10e-03),,22170730,(p=1.10e-03),,22672386,(p=1.30e-03),
14,14,5728,PTEN,-,1903,202,3.067e-160,24468202,(p=4.00e-04),,22075159,(p=4.04e-04),,28285689,(p=4.04e-04),,23249714,(p=4.08e-04),,23592446,(p=4.11e-04),,17646270,(p=4.17e-04),,19763916,(p=5.05e-04),,23728071,(p=6.02e-04),,20959484,(p=8.00e-04),,20444542,(p=8.01e-04),
15,15,29126,CD274,-,734,130,6.4e-152,25349974,(p=3.02e-04),,27342566,(p=3.05e-04),,25658629,(p=4.05e-04),,26019170,(p=4.06e-04),,27499357,(p=4.13e-04),,28684311,(p=4.17e-04),,25009014,(p=4.18e-04),,28341875,(p=5.04e-04),,25862146,(p=5.05e-04),,28880013,(p=6.02e-04),
16,16,558,AXL,-,235,83,8.318e-139,25400744,(p=4.14e-04),,27712586,(p=4.15e-04),,27671334,(p=4.16e-04),,25125659,(p=4.17e-04),,22751098,(p=4.17e-04),,28440492,(p=5.01e-04),,26616860,(p=5.02e-04),,26475093,(p=5.04e-04),,22890323,(p=6.02e-04),,24832599,(p=7.00e-04),
17,17,6098,ROS1,-,119,68,1.586e-137,23400546,(p=7.46e-05),,26973202,(p=9.18e-05),,22215748,(p=9.28e-05),,24349229,(p=9.46e-05),,25846554,(p=1.01e-04),,23719267,(p=1.03e-04),,25351743,(p=1.04e-04),,25688157,(p=1.05e-04),,27575422,(p=1.06e-04),,22617245,(p=1.06e-04),
18,18,2260,FGFR1,-,503,100,4.629e-132,21160078,(p=1.04e-04),,26549034,(p=4.11e-04),,25512530,(p=4.12e-04),,23808822,(p=4.12e-04),,23536707,(p=4.16e-04),,23806793,(p=4.17e-04),,24850843,(p=5.02e-04),,27315356,(p=5.02e-04),,22499828,(p=5.04e-04),,25900027,(p=5.05e-04),
19,19,5156,PDGFRA,-,440,92,1.461e-126,26549034,(p=4.11e-04),,26544626,(p=4.18e-04),,22323597,(p=5.05e-04),,19755855,(p=1.00e-03),,12842979,(p=1.10e-03),,25380967,(p=1.10e-03),,28783171,(p=1.10e-03),,25621775,(p=1.10e-03),,22311673,(p=1.10e-03),,16168125,(p=1.20e-03),
20,20,7157,TP53,-,8709,387,5.819e-126,28285689,(p=4.04e-04),,17409930,(p=4.07e-04),,21527506,(p=4.07e-04),,19234440,(p=4.13e-04),,27780855,(p=4.16e-04),,19723643,(p=4.17e-04),,17200338,(p=5.02e-04),,20811722,(p=6.01e-04),,28373435,(p=8.01e-04),,20811949,(p=8.02e-04),
21,21,2067,ERCC1,-,614,92,1.25e-112,18036700,(p=4.18e-04),,20975603,(p=5.02e-04),,23982437,(p=6.01e-04),,20504223,(p=8.00e-04),,19552012,(p=8.04e-04),,22053010,(p=1.10e-03),,23940741,(p=1.10e-03),,24935625,(p=1.10e-03),,25107571,(p=1.60e-03),,19150580,(p=1.60e-03),
22,22,27436,EML4,-,76,50,1.631e-111,19667264,(p=8.18e-05),,23919423,(p=9.73e-05),,26517679,(p=1.02e-04),,23664446,(p=1.02e-04),,22124476,(p=1.04e-04),,24633422,(p=2.00e-04),,25144242,(p=3.01e-04),,25581823,(p=3.01e-04),,24952482,(p=4.01e-04),,19737969,(p=4.02e-04),
23,23,5979,RET,-,761,94,2.031e-106,26973202,(p=9.18e-05),,26853422,(p=1.02e-04),,23841470,(p=1.06e-04),,26424208,(p=4.06e-04),,27912827,(p=4.06e-04),,23578175,(p=4.07e-04),,25723109,(p=4.09e-04),,23150706,(p=4.13e-04),,23991695,(p=4.14e-04),,25905642,(p=4.15e-04),
24,24,6714,SRC,-,1255,113,1.784e-105,23242808,(p=4.09e-04),,27419630,(p=4.09e-04),,21618517,(p=4.10e-04),,26325669,(p=4.13e-04),,25193862,(p=4.18e-04),,24189400,(p=4.18e-04),,22323579,(p=8.02e-04),,26934000,(p=9.00e-04),,20624308,(p=9.01e-04),,25392346,(p=9.02e-04),
