,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,673,BRAF,-,1852,939,0,26460303,(p=8.54e-05),,22742884,(p=9.10e-05),,26181250,(p=9.31e-05),,22972589,(p=1.00e-04),,25351955,(p=1.00e-04),,23569304,(p=1.02e-04),,25706985,(p=1.02e-04),,24958825,(p=1.03e-04),,23242808,(p=1.05e-04),,28092667,(p=1.06e-04),
2,2,3845,KRAS,-,2028,461,0,22773810,(p=1.16e-04),,24993163,(p=2.03e-04),,22675430,(p=2.04e-04),,20395213,(p=4.08e-04),,26446234,(p=4.08e-04),,24947927,(p=5.00e-04),,26802155,(p=5.00e-04),,19190079,(p=5.02e-04),,24374738,(p=5.04e-04),,23725851,(p=5.06e-04),
3,3,1956,EGFR,-,4828,891,0,23242808,(p=1.05e-04),,22773810,(p=1.16e-04),,26043909,(p=2.01e-04),,26768483,(p=3.01e-04),,17610986,(p=4.00e-04),,20395213,(p=4.08e-04),,18263768,(p=4.08e-04),,27083334,(p=5.00e-04),,22256804,(p=5.01e-04),,19020749,(p=5.01e-04),
4,4,4893,NRAS,-,446,186,1.557e-268,21107323,(p=1.10e-04),,25063807,(p=1.10e-04),,22773810,(p=1.16e-04),,22912864,(p=2.03e-04),,24758538,(p=3.00e-04),,24710085,(p=3.00e-04),,18615679,(p=3.02e-04),,23538902,(p=4.00e-04),,24941944,(p=4.01e-04),,23795354,(p=4.01e-04),
5,5,5290,PIK3CA,-,1251,247,1.537e-240,22912864,(p=2.03e-04),,22675430,(p=2.04e-04),,28774796,(p=4.05e-04),,22271473,(p=4.05e-04),,23248156,(p=5.04e-04),,19223544,(p=5.07e-04),,24666267,(p=5.08e-04),,20937558,(p=5.08e-04),,23549875,(p=5.09e-04),,22135231,(p=5.12e-04),
6,6,2064,ERBB2,-,2547,248,5.531e-171,23908594,(p=5.08e-04),,27035903,(p=5.09e-04),,23988598,(p=5.09e-04),,22586653,(p=5.11e-04),,26964772,(p=5.12e-04),,26947331,(p=5.13e-04),,28464908,(p=5.13e-04),,27426241,(p=5.14e-04),,25694417,(p=5.15e-04),,18408761,(p=5.16e-04),
7,7,4233,MET,-,1039,165,6.95e-170,26456083,(p=4.06e-04),,27325282,(p=4.08e-04),,23802768,(p=5.03e-04),,26580964,(p=5.04e-04),,27789775,(p=5.05e-04),,22020736,(p=5.07e-04),,24786972,(p=5.10e-04),,23794705,(p=5.14e-04),,26215952,(p=5.16e-04),,23381625,(p=5.17e-04),
8,8,2475,MTOR,-,1679,197,1.589e-165,22797077,(p=3.02e-04),,19679016,(p=3.02e-04),,28774796,(p=4.05e-04),,26284586,(p=4.06e-04),,24718901,(p=5.05e-04),,23549875,(p=5.09e-04),,24011934,(p=5.13e-04),,26108998,(p=5.16e-04),,25146530,(p=5.16e-04),,27235137,(p=6.01e-04),
9,9,207,AKT1,-,2893,220,7.967e-141,24265152,(p=2.03e-04),,19679016,(p=3.02e-04),,28774796,(p=4.05e-04),,26150526,(p=5.04e-04),,24718901,(p=5.05e-04),,17128418,(p=5.10e-04),,25714871,(p=5.13e-04),,22131882,(p=5.14e-04),,20216471,(p=5.14e-04),,20860430,(p=5.15e-04),
10,10,3815,KIT,-,935,122,5.706e-129,28947418,(p=4.06e-04),,21131919,(p=5.06e-04),,26399561,(p=5.07e-04),,18632627,(p=5.08e-04),,20824047,(p=5.09e-04),,23775962,(p=5.10e-04),,25766129,(p=5.11e-04),,25588542,(p=5.11e-04),,28327988,(p=5.14e-04),,19047099,(p=5.14e-04),
11,11,238,ALK,-,529,98,9.137e-127,26973324,(p=5.01e-04),,24288180,(p=5.06e-04),,26537995,(p=5.12e-04),,22135231,(p=5.12e-04),,19667264,(p=5.15e-04),,26872010,(p=7.01e-04),,27637025,(p=9.00e-04),,24633422,(p=9.00e-04),,26618223,(p=1.20e-03),,26719536,(p=1.30e-03),
12,12,29126,CD274,-,734,106,3.021e-122,24812408,(p=1.11e-04),,28275115,(p=1.13e-04),,28231855,(p=1.15e-04),,27534574,(p=3.03e-04),,24815784,(p=5.02e-04),,26086854,(p=5.04e-04),,27534573,(p=5.11e-04),,26110571,(p=5.12e-04),,27470968,(p=5.14e-04),,25349974,(p=5.14e-04),
13,13,5728,PTEN,-,1903,126,2.169e-97,22912864,(p=2.03e-04),,19679016,(p=3.02e-04),,26112748,(p=3.02e-04),,23039341,(p=3.03e-04),,26562020,(p=5.05e-04),,24666267,(p=5.08e-04),,25646931,(p=5.11e-04),,21725359,(p=5.15e-04),,25165098,(p=5.15e-04),,25146530,(p=5.16e-04),
14,14,5594,MAPK1,-,1938,127,2.301e-97,23076151,(p=4.08e-04),,17128418,(p=5.10e-04),,17526808,(p=5.11e-04),,22277029,(p=5.14e-04),,17015027,(p=5.15e-04),,23349307,(p=5.16e-04),,18508762,(p=6.00e-04),,19633425,(p=6.01e-04),,15243131,(p=8.01e-04),,20038816,(p=9.00e-04),
15,15,6774,STAT3,-,2272,126,3.836e-89,23624919,(p=4.02e-04),,28376152,(p=5.16e-04),,28646535,(p=7.01e-04),,24025152,(p=8.01e-04),,25760445,(p=1.10e-03),,22319590,(p=1.30e-03),,17920763,(p=1.40e-03),,24401319,(p=1.40e-03),,20072651,(p=1.40e-03),,18386001,(p=1.40e-03),
16,16,2065,ERBB3,-,443,66,1.551e-88,26269601,(p=1.18e-04),,26208478,(p=4.00e-04),,26160848,(p=4.05e-04),,27035903,(p=5.09e-04),,26206558,(p=7.00e-04),,24044505,(p=7.03e-04),,25471734,(p=8.00e-04),,18270579,(p=1.40e-03),,25993617,(p=2.00e-03),,24667376,(p=2.30e-03),
17,17,5604,MAP2K1,-,386,62,1.053e-86,24419498,(p=1.05e-04),,22805292,(p=1.09e-04),,22773810,(p=1.16e-04),,26208478,(p=4.00e-04),,18390968,(p=4.04e-04),,23934108,(p=4.05e-04),,22805291,(p=5.01e-04),,27636997,(p=5.03e-04),,26324360,(p=5.04e-04),,19500021,(p=5.04e-04),
18,18,3480,IGF1R,-,955,84,2.667e-86,20417200,(p=1.07e-04),,26112748,(p=3.02e-04),,20713879,(p=5.13e-04),,26497996,(p=6.01e-04),,25617986,(p=7.02e-04),,23515613,(p=7.03e-04),,28498399,(p=1.30e-03),,25081930,(p=1.40e-03),,24026884,(p=1.40e-03),,24410957,(p=1.40e-03),
19,19,4170,MCL1,-,587,69,2.821e-84,27765849,(p=1.16e-04),,27351224,(p=1.16e-04),,26636651,(p=5.10e-04),,17927446,(p=5.10e-04),,25873592,(p=5.11e-04),,20038816,(p=9.00e-04),,19684859,(p=2.00e-03),,25756510,(p=2.00e-03),,19523441,(p=2.40e-03),,23883584,(p=2.40e-03),
20,20,1432,MAPK14,-,1249,91,5.502e-84,21858220,(p=5.08e-04),,23579276,(p=5.13e-04),,21923922,(p=5.16e-04),,24356814,(p=5.17e-04),,19633425,(p=6.01e-04),,19885551,(p=6.01e-04),,26407843,(p=7.00e-04),,12698197,(p=1.00e-03),,22053010,(p=1.10e-03),,18047584,(p=1.30e-03),
