,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,2885,GRB2,-,756,405,0,9541596,(p=1.02e-04),,9281317,(p=1.02e-04),,17974561,(p=1.03e-04),,9356464,(p=1.04e-04),,8702859,(p=2.05e-04),,10648629,(p=2.05e-04),,12852788,(p=3.01e-04),,7739560,(p=3.01e-04),,15004239,(p=3.01e-04),,26103942,(p=3.01e-04),
2,2,2864,FFAR1,-,61,29,0,26505901,(p=5.05e-04),,25679385,(p=5.06e-04),,17200419,(p=5.09e-04),,18927207,(p=6.08e-04),,12496284,(p=9.00e-04),,26974599,(p=2.20e-03),,15736105,(p=2.20e-03),,15606695,(p=2.20e-03),,18583466,(p=2.20e-03),,15695516,(p=2.50e-03),
3,3,10818,FRS2,-,76,36,0,15004239,(p=3.01e-04),,11353842,(p=5.07e-04),,10629055,(p=5.07e-04),,9632781,(p=5.07e-04),,9045692,(p=5.08e-04),,10464310,(p=5.08e-04),,16284401,(p=5.08e-04),,12154000,(p=5.09e-04),,12974390,(p=6.07e-04),,20184660,(p=6.08e-04),
4,4,3480,IGF1R,-,955,430,0,9415396,(p=8.53e-05),,14522909,(p=9.49e-05),,21939528,(p=9.57e-05),,21152401,(p=9.95e-05),,16127155,(p=1.01e-04),,18263593,(p=1.03e-04),,23724116,(p=1.03e-04),,21595894,(p=1.04e-04),,16926280,(p=1.04e-04),,21330319,(p=1.04e-04),
5,5,1439,CSF2RB,-,94,40,0,10477722,(p=9.28e-05),,17828305,(p=1.04e-04),,7682176,(p=1.05e-04),,11122381,(p=3.01e-04),,8666948,(p=5.03e-04),,10772872,(p=5.04e-04),,10490850,(p=5.05e-04),,12637324,(p=5.05e-04),,8246974,(p=5.05e-04),,8631962,(p=5.06e-04),
6,6,2886,GRB7,-,75,31,0,9360986,(p=1.01e-04),,12852788,(p=3.01e-04),,20126311,(p=3.02e-04),,11809769,(p=6.06e-04),,16595785,(p=6.07e-04),,24189400,(p=6.08e-04),,9516479,(p=6.08e-04),,26869103,(p=6.09e-04),,15806159,(p=1.20e-03),,12223469,(p=1.21e-03),
7,7,6714,SRC,-,1255,513,0,16322069,(p=8.84e-05),,16002577,(p=8.87e-05),,15466214,(p=9.56e-05),,21156787,(p=1.01e-04),,17848177,(p=1.01e-04),,20624308,(p=1.02e-04),,12210743,(p=1.03e-04),,22361730,(p=1.03e-04),,16640565,(p=1.04e-04),,9507031,(p=1.04e-04),
8,8,10188,TNK2,-,104,42,0,17182860,(p=3.01e-04),,20979614,(p=5.04e-04),,11799118,(p=5.05e-04),,15308621,(p=5.06e-04),,10882715,(p=5.09e-04),,22952966,(p=6.06e-04),,20432460,(p=6.07e-04),,11278436,(p=6.08e-04),,28188290,(p=6.08e-04),,11087735,(p=6.08e-04),
9,9,1796,DOK1,-,92,37,0,21690289,(p=9.30e-05),,11825908,(p=5.05e-04),,15546884,(p=5.07e-04),,11551902,(p=5.07e-04),,11071635,(p=5.08e-04),,10822173,(p=6.07e-04),,25043303,(p=6.07e-04),,19843520,(p=6.08e-04),,15151996,(p=6.08e-04),,11489946,(p=7.00e-04),
10,10,53358,SHC3,-,40,16,0,7739560,(p=3.01e-04),,12242309,(p=5.08e-04),,11877420,(p=6.09e-04),,12006576,(p=1.90e-03),,9345034,(p=2.10e-03),,9507002,(p=4.10e-03),,16273093,(p=4.20e-03),,8662772,(p=4.30e-03),,20624904,(p=4.60e-03),,12185581,(p=4.90e-03),
11,11,5803,PTPRZ1,-,76,30,0,10706604,(p=9.43e-05),,23744080,(p=3.00e-04),,27445335,(p=3.01e-04),,25644401,(p=5.06e-04),,21454675,(p=6.09e-04),,19141530,(p=7.00e-04),,23100427,(p=8.01e-04),,17030583,(p=1.21e-03),,1323835,(p=1.40e-03),,17681947,(p=1.40e-03),
