,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,1956,EGFR,-,4828,2713,0,27821794,(p=7.38e-05),,25077897,(p=7.99e-05),,17610986,(p=8.42e-05),,18458038,(p=8.43e-05),,20156777,(p=8.53e-05),,26768483,(p=8.56e-05),,20512075,(p=8.81e-05),,21858220,(p=8.95e-05),,18263768,(p=8.97e-05),,24919575,(p=9.07e-05),
2,2,4233,MET,-,1039,392,0,26580964,(p=9.36e-05),,26301867,(p=9.92e-05),,19808904,(p=1.01e-04),,27450722,(p=1.03e-04),,25310337,(p=1.05e-04),,24167634,(p=1.07e-04),,28141869,(p=1.07e-04),,24386407,(p=1.08e-04),,28138027,(p=1.11e-04),,19381876,(p=1.12e-04),
3,3,3845,KRAS,-,2028,522,0,19671843,(p=9.66e-05),,28289161,(p=9.73e-05),,20395213,(p=1.02e-04),,19884551,(p=1.05e-04),,26325669,(p=1.07e-04),,20159991,(p=1.10e-04),,21271222,(p=1.10e-04),,28007627,(p=1.11e-04),,24374738,(p=1.11e-04),,23817662,(p=1.11e-04),
4,4,2064,ERBB2,-,2547,580,0,18408761,(p=9.59e-05),,20459769,(p=1.06e-04),,17473658,(p=1.10e-04),,27770386,(p=1.13e-04),,23470965,(p=1.15e-04),,26964772,(p=1.16e-04),,18199554,(p=1.16e-04),,19238210,(p=1.18e-04),,24189400,(p=1.18e-04),,19473722,(p=1.19e-04),
5,5,207,AKT1,-,2893,447,4.364e-297,24468202,(p=1.07e-04),,23249714,(p=1.07e-04),,20159991,(p=1.10e-04),,20216471,(p=1.13e-04),,25323938,(p=1.17e-04),,26150526,(p=1.17e-04),,24399305,(p=1.20e-04),,21487020,(p=1.23e-04),,19070520,(p=2.02e-04),,21045158,(p=2.05e-04),
6,6,5290,PIK3CA,-,1251,282,3.432e-277,24468202,(p=1.07e-04),,28285689,(p=1.17e-04),,24189400,(p=1.18e-04),,21258250,(p=1.19e-04),,23136191,(p=1.23e-04),,23708425,(p=1.28e-04),,23392229,(p=2.01e-04),,23564819,(p=2.01e-04),,22355357,(p=2.03e-04),,25471734,(p=2.07e-04),
7,7,3480,IGF1R,-,955,248,8.613e-272,17047074,(p=1.13e-04),,25617986,(p=1.16e-04),,26342551,(p=1.17e-04),,24458568,(p=1.18e-04),,23619944,(p=1.20e-04),,27177336,(p=1.22e-04),,19806209,(p=1.26e-04),,24489728,(p=1.29e-04),,26554308,(p=2.03e-04),,27384680,(p=2.05e-04),
8,8,238,ALK,-,529,198,6.384e-270,26537995,(p=1.05e-04),,24443522,(p=1.22e-04),,19667264,(p=1.22e-04),,21720997,(p=1.25e-04),,26992917,(p=1.26e-04),,26719536,(p=1.27e-04),,26789109,(p=2.01e-04),,24288180,(p=2.01e-04),,21358343,(p=2.06e-04),,27780853,(p=2.07e-04),
9,9,2475,MTOR,-,1679,278,2.721e-238,26639561,(p=1.09e-04),,20630061,(p=2.03e-04),,23991179,(p=2.04e-04),,21821699,(p=2.04e-04),,24718901,(p=2.06e-04),,25129346,(p=2.07e-04),,20811722,(p=2.07e-04),,21980128,(p=2.07e-04),,27472392,(p=4.01e-04),,25023728,(p=4.02e-04),
10,10,6774,STAT3,-,2272,317,1.762e-235,28376152,(p=1.07e-04),,27264264,(p=1.12e-04),,24401319,(p=1.12e-04),,26238612,(p=1.18e-04),,24189400,(p=1.18e-04),,24280348,(p=1.19e-04),,26781210,(p=1.19e-04),,27419630,(p=1.19e-04),,26542452,(p=1.23e-04),,23894143,(p=1.25e-04),
11,11,2065,ERBB3,-,443,155,6.919e-221,25993617,(p=1.16e-04),,24189400,(p=1.18e-04),,25249545,(p=1.22e-04),,26595522,(p=1.22e-04),,24044505,(p=1.24e-04),,18381441,(p=1.27e-04),,17463250,(p=1.27e-04),,21741919,(p=2.03e-04),,26372697,(p=2.03e-04),,19447869,(p=2.03e-04),
12,12,673,BRAF,-,1852,224,5.411e-181,23817662,(p=1.11e-04),,27283860,(p=1.29e-04),,24709886,(p=1.29e-04),,22180495,(p=2.00e-04),,22773810,(p=2.00e-04),,23744164,(p=2.00e-04),,23908594,(p=2.01e-04),,23841470,(p=2.02e-04),,27923714,(p=2.02e-04),,23242808,(p=2.05e-04),
13,13,6714,SRC,-,1255,170,5.638e-162,26325669,(p=1.07e-04),,24189400,(p=1.18e-04),,27419630,(p=1.19e-04),,21618517,(p=1.26e-04),,18922903,(p=1.28e-04),,25193862,(p=1.29e-04),,23242808,(p=2.05e-04),,20624308,(p=2.06e-04),,19861436,(p=4.01e-04),,24440771,(p=5.00e-04),
14,14,5728,PTEN,-,1903,202,3.067e-160,24468202,(p=1.07e-04),,23249714,(p=1.07e-04),,22075159,(p=1.11e-04),,23592446,(p=1.11e-04),,20959484,(p=1.16e-04),,28285689,(p=1.17e-04),,17646270,(p=2.03e-04),,20444542,(p=2.03e-04),,17912443,(p=2.04e-04),,25638724,(p=2.04e-04),
15,15,558,AXL,-,235,90,1.413e-151,27712586,(p=1.18e-04),,26475093,(p=1.20e-04),,22751098,(p=1.24e-04),,25400744,(p=1.27e-04),,24832599,(p=2.02e-04),,20603615,(p=2.03e-04),,25125659,(p=2.04e-04),,27671334,(p=4.01e-04),,28440492,(p=4.02e-04),,22890323,(p=4.02e-04),
16,16,7157,TP53,-,8709,414,4.24e-135,17409930,(p=1.14e-04),,28285689,(p=1.17e-04),,21527506,(p=1.28e-04),,27780855,(p=2.05e-04),,21070477,(p=2.06e-04),,19096302,(p=2.06e-04),,20811722,(p=2.07e-04),,26512780,(p=6.01e-04),,24182354,(p=6.02e-04),,19470788,(p=6.02e-04),
17,17,3815,KIT,-,935,122,3.356e-129,27068398,(p=2.04e-04),,25510664,(p=6.00e-04),,26544626,(p=8.00e-04),,28760855,(p=9.01e-04),,20197394,(p=9.03e-04),,27633918,(p=1.10e-03),,19540337,(p=1.10e-03),,21993766,(p=1.10e-03),,19861442,(p=1.10e-03),,21157293,(p=1.10e-03),
18,18,5747,PTK2,-,828,115,2.115e-127,26962872,(p=9.47e-05),,25193862,(p=1.29e-04),,18632638,(p=7.02e-04),,15657067,(p=7.03e-04),,27822706,(p=9.01e-04),,18263593,(p=9.03e-04),,23328701,(p=1.00e-03),,28533307,(p=1.00e-03),,19671193,(p=1.10e-03),,27009091,(p=1.40e-03),
19,19,5594,MAPK1,-,1938,162,5.138e-126,17015027,(p=1.26e-04),,19505457,(p=2.00e-04),,19147502,(p=2.01e-04),,27004400,(p=2.04e-04),,25862004,(p=4.00e-04),,26514924,(p=6.02e-04),,24300974,(p=6.03e-04),,21444628,(p=8.00e-04),,28241849,(p=9.00e-04),,26310353,(p=9.02e-04),
20,20,2260,FGFR1,-,503,94,1.103e-123,23536707,(p=1.19e-04),,25512530,(p=1.27e-04),,26549034,(p=2.04e-04),,21160078,(p=6.00e-04),,25900027,(p=7.03e-04),,23343422,(p=7.03e-04),,23082000,(p=8.02e-04),,26936917,(p=9.01e-04),,28968756,(p=9.02e-04),,24850843,(p=9.02e-04),
21,21,7422,VEGFA,-,4154,235,9.973e-123,25889301,(p=1.16e-04),,23435217,(p=1.23e-04),,25410981,(p=1.29e-04),,20485168,(p=5.01e-04),,27177865,(p=6.00e-04),,21041183,(p=7.02e-04),,26619847,(p=8.01e-04),,26802156,(p=8.01e-04),,16972327,(p=8.02e-04),,26422603,(p=9.01e-04),
22,22,8743,TNFSF10,-,776,104,1.538e-117,18922903,(p=1.28e-04),,20417200,(p=7.03e-04),,22948392,(p=1.10e-03),,23053497,(p=1.30e-03),,21538027,(p=2.20e-03),,21670755,(p=2.30e-03),,26381901,(p=2.30e-03),,26506422,(p=2.30e-03),,18640940,(p=2.40e-03),,15634757,(p=2.40e-03),
23,23,1950,EGF,-,666,96,2.07e-114,19380191,(p=1.26e-04),,24928511,(p=2.03e-04),,23229345,(p=2.06e-04),,24704591,(p=6.01e-04),,26646272,(p=6.02e-04),,15886816,(p=6.03e-04),,15802268,(p=7.00e-04),,23844832,(p=9.02e-04),,17898861,(p=9.03e-04),,17950068,(p=1.00e-03),
24,24,4170,MCL1,-,587,90,6.828e-112,23883584,(p=1.06e-04),,17927446,(p=1.09e-04),,25756510,(p=1.29e-04),,19763916,(p=4.00e-04),,15753661,(p=4.02e-04),,24469836,(p=9.01e-04),,27351224,(p=1.00e-03),,23171055,(p=1.30e-03),,21863213,(p=1.40e-03),,27939888,(p=1.50e-03),
25,25,3791,KDR,-,875,101,8.432e-109,18379357,(p=4.01e-04),,26853422,(p=4.02e-04),,27059553,(p=5.00e-04),,20485168,(p=5.01e-04),,17631646,(p=8.00e-04),,26619847,(p=8.01e-04),,27789775,(p=9.00e-04),,25878330,(p=9.02e-04),,21724587,(p=1.00e-03),,25340839,(p=1.00e-03),
26,26,2099,ESR1,-,2923,168,7.875e-106,28498399,(p=4.00e-04),,25275589,(p=7.01e-04),,24758408,(p=8.00e-04),,23609470,(p=8.01e-04),,24045439,(p=9.02e-04),,12970748,(p=1.00e-03),,25991817,(p=1.00e-03),,28320353,(p=1.10e-03),,29029116,(p=1.10e-03),,18550772,(p=1.10e-03),
27,27,332,BIRC5,-,1116,107,9.461e-105,22075159,(p=1.11e-04),,25895606,(p=1.20e-04),,24563335,(p=1.20e-04),,21402055,(p=2.02e-04),,16847054,(p=7.03e-04),,25808836,(p=1.00e-03),,24387108,(p=1.00e-03),,24886669,(p=1.10e-03),,15735703,(p=1.10e-03),,27994498,(p=1.10e-03),
28,28,5156,PDGFRA,-,440,75,5.919e-102,26549034,(p=2.04e-04),,25380967,(p=6.03e-04),,26544626,(p=8.00e-04),,24132921,(p=1.00e-03),,28783171,(p=1.00e-03),,22323597,(p=1.10e-03),,21157293,(p=1.10e-03),,23146028,(p=1.50e-03),,24658140,(p=1.50e-03),,16168125,(p=1.50e-03),
29,29,1026,CDKN1A,-,1511,117,8.345e-101,28757172,(p=1.23e-04),,21616632,(p=2.05e-04),,12599217,(p=7.01e-04),,17337084,(p=1.00e-03),,23982416,(p=2.30e-03),,21087528,(p=2.40e-03),,12963997,(p=2.40e-03),,25349305,(p=2.50e-03),,20702488,(p=2.60e-03),,28209205,(p=2.60e-03),
30,30,3091,HIF1A,-,2688,153,1.866e-100,25748238,(p=1.14e-04),,20154724,(p=1.27e-04),,21966417,(p=2.03e-04),,16847054,(p=7.03e-04),,25596742,(p=8.01e-04),,19435875,(p=9.02e-04),,20169663,(p=1.10e-03),,23785417,(p=1.40e-03),,21343371,(p=1.50e-03),,24018850,(p=1.60e-03),
31,31,3082,HGF,-,693,86,1.868e-100,23045285,(p=9.65e-05),,21423210,(p=1.16e-04),,22435662,(p=1.23e-04),,21440951,(p=4.01e-04),,28341789,(p=4.02e-04),,20019837,(p=6.01e-04),,21779929,(p=8.01e-04),,24800946,(p=8.02e-04),,20661229,(p=9.02e-04),,23536720,(p=9.03e-04),
32,32,4790,NFKB1,-,2819,156,6.054e-100,25028470,(p=9.05e-05),,27091996,(p=1.08e-04),,24300974,(p=6.03e-04),,21951562,(p=7.03e-04),,26522725,(p=9.00e-04),,22145100,(p=1.00e-03),,22384099,(p=1.00e-03),,20482842,(p=1.00e-03),,24137610,(p=1.00e-03),,28178657,(p=1.00e-03),
33,33,367,AR,-,2103,133,1.578e-98,28468774,(p=7.03e-04),,26876202,(p=9.02e-04),,26044568,(p=1.00e-03),,19794963,(p=1.10e-03),,19301304,(p=1.10e-03),,24779793,(p=1.30e-03),,28745319,(p=1.50e-03),,24356815,(p=1.50e-03),,24615402,(p=1.50e-03),,21878636,(p=1.80e-03),
34,34,5595,MAPK3,-,1306,106,4.902e-97,19147502,(p=2.01e-04),,26514924,(p=6.02e-04),,21444628,(p=8.00e-04),,20726858,(p=9.02e-04),,20072648,(p=9.03e-04),,22722337,(p=1.00e-03),,22696230,(p=1.10e-03),,23306155,(p=1.10e-03),,17526808,(p=1.40e-03),,19729990,(p=1.50e-03),
35,35,29126,CD274,-,734,83,9.711e-95,25658629,(p=1.07e-04),,25349974,(p=1.15e-04),,28684311,(p=1.24e-04),,27499357,(p=1.24e-04),,28880013,(p=1.27e-04),,25009014,(p=2.00e-04),,28341875,(p=2.07e-04),,26424759,(p=7.03e-04),,28714960,(p=8.00e-04),,28275115,(p=8.01e-04),
36,36,8795,TNFRSF10B,-,324,60,7.107e-89,22948392,(p=1.10e-03),,23053497,(p=1.30e-03),,28459212,(p=1.90e-03),,21538027,(p=2.20e-03),,18599488,(p=2.50e-03),,15757891,(p=3.20e-03),,24895135,(p=3.20e-03),,25917567,(p=3.40e-03),,12805378,(p=3.80e-03),,20875141,(p=4.00e-03),
