,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,4233,MET,-,1039,446,0,26580964,(p=8.32e-05),,22238368,(p=8.41e-05),,27789775,(p=8.50e-05),,21423210,(p=8.51e-05),,23348694,(p=8.53e-05),,23992325,(p=8.69e-05),,23381625,(p=8.70e-05),,26351321,(p=9.09e-05),,23548264,(p=9.15e-05),,28332364,(p=9.21e-05),
2,2,1956,EGFR,-,4828,1955,0,20459769,(p=7.42e-05),,25766325,(p=7.43e-05),,25138052,(p=7.97e-05),,21858220,(p=8.03e-05),,24044505,(p=8.11e-05),,28822888,(p=8.13e-05),,25077897,(p=8.31e-05),,19020749,(p=8.33e-05),,21423210,(p=8.51e-05),,26437915,(p=8.72e-05),
3,3,415116,PIM3,-,46,13,0,26075720,(p=6.00e-04),,23760491,(p=7.02e-04),,27638830,(p=1.00e-03),,24789328,(p=2.20e-03),,24165482,(p=3.70e-03),,28698206,(p=4.10e-03),,27448973,(p=4.90e-03),,21187426,(p=4.90e-03),,27016481,(p=5.70e-03),,20939820,(p=6.80e-03),
4,4,26018,LRIG1,-,69,19,0,22241084,(p=5.01e-04),,17178829,(p=1.70e-03),,19300910,(p=2.20e-03),,25960225,(p=2.40e-03),,26148232,(p=3.40e-03),,21128282,(p=4.90e-03),,23208928,(p=4.90e-03),,25813475,(p=5.00e-03),,18922900,(p=5.10e-03),,23208509,(p=5.60e-03),
5,5,2064,ERBB2,-,2547,677,0,20459769,(p=7.42e-05),,25766325,(p=7.43e-05),,24044505,(p=8.11e-05),,22238368,(p=8.41e-05),,26437915,(p=8.72e-05),,26833126,(p=9.08e-05),,18211286,(p=9.16e-05),,25249538,(p=9.18e-05),,18408761,(p=9.21e-05),,24112719,(p=9.24e-05),
6,6,64866,CDCP1,-,74,19,0,18467693,(p=1.10e-03),,25892239,(p=2.60e-03),,27495374,(p=2.90e-03),,25728678,(p=3.30e-03),,26307391,(p=3.40e-03),,20501830,(p=3.60e-03),,21812858,(p=4.00e-03),,21233420,(p=4.60e-03),,23208492,(p=4.70e-03),,26876198,(p=4.90e-03),
7,7,1033,CDKN3,-,51,12,0,28109073,(p=2.40e-03),,25735390,(p=2.80e-03),,21396835,(p=3.70e-03),,24573179,(p=5.70e-03),,19728335,(p=6.90e-03),,25852190,(p=7.10e-03),,22390936,(p=7.90e-03),,25360622,(p=8.10e-03),,23292002,(p=8.50e-03),,26554648,(p=9.10e-03),
8,8,5754,PTK7,-,57,13,0,25962058,(p=6.01e-04),,24587299,(p=7.03e-04),,24654231,(p=7.06e-04),,25204555,(p=8.00e-04),,27557627,(p=1.10e-03),,18471990,(p=3.50e-03),,23663482,(p=3.60e-03),,24789704,(p=5.00e-03),,25796105,(p=5.10e-03),,21103379,(p=6.70e-03),
9,9,4921,DDR2,-,94,21,0,25173530,(p=1.04e-04),,25348954,(p=7.01e-04),,26826182,(p=7.02e-04),,25842034,(p=7.04e-04),,21701781,(p=7.04e-04),,22328973,(p=7.05e-04),,27350126,(p=1.80e-03),,24556606,(p=2.10e-03),,25130389,(p=3.20e-03),,24740739,(p=3.40e-03),
10,10,207,AKT1,-,2893,639,0,20216471,(p=8.56e-05),,20159991,(p=9.58e-05),,21959954,(p=9.81e-05),,25023728,(p=1.02e-04),,21722267,(p=1.02e-04),,24718901,(p=1.03e-04),,19409087,(p=1.05e-04),,26150526,(p=1.06e-04),,18644989,(p=1.06e-04),,22895078,(p=4.00e-04),
11,11,346389,MACC1,-,102,22,0,19787327,(p=7.03e-04),,27991682,(p=1.20e-03),,27607135,(p=1.80e-03),,24220141,(p=2.80e-03),,21923915,(p=3.20e-03),,27529686,(p=3.60e-03),,25421538,(p=3.60e-03),,26043756,(p=3.90e-03),,25895023,(p=4.10e-03),,25953673,(p=4.60e-03),
12,12,2886,GRB7,-,75,16,0,20126311,(p=9.80e-05),,24189400,(p=6.01e-04),,19717535,(p=7.04e-04),,16595785,(p=2.80e-03),,17916906,(p=2.80e-03),,17875712,(p=3.00e-03),,17426702,(p=3.10e-03),,20622016,(p=4.50e-03),,8988034,(p=5.30e-03),,19473962,(p=6.70e-03),
13,13,56848,SPHK2,-,64,13,0,21307639,(p=7.04e-04),,24140934,(p=1.00e-03),,26494858,(p=1.30e-03),,25808826,(p=1.70e-03),,12391145,(p=2.10e-03),,26209696,(p=2.40e-03),,28108260,(p=3.00e-03),,26628299,(p=3.60e-03),,26886371,(p=5.10e-03),,25010828,(p=6.00e-03),
14,14,2241,FER,-,79,15,0,28245430,(p=1.02e-04),,25347743,(p=4.00e-04),,23699534,(p=7.01e-04),,21518868,(p=8.01e-04),,22238358,(p=2.20e-03),,19835603,(p=3.00e-03),,23873028,(p=3.40e-03),,25540073,(p=3.40e-03),,23573306,(p=3.60e-03),,16732323,(p=3.70e-03),
15,15,11279,KLF8,-,53,10,0,26025929,(p=7.06e-04),,26993780,(p=1.90e-03),,23812425,(p=3.70e-03),,21151179,(p=3.90e-03),,25333643,(p=4.10e-03),,23023312,(p=4.20e-03),,20728449,(p=5.40e-03),,20182889,(p=6.70e-03),,28842254,(p=6.80e-03),,23504025,(p=8.60e-03),
16,16,10451,VAV3,-,75,14,0,23566222,(p=5.00e-04),,16982329,(p=7.03e-04),,24886537,(p=8.00e-04),,27930970,(p=2.80e-03),,22659453,(p=3.10e-03),,16762975,(p=3.60e-03),,25791293,(p=4.10e-03),,23033540,(p=5.90e-03),,22544459,(p=6.60e-03),,26972445,(p=6.70e-03),
17,17,55959,SULF2,-,59,11,0,22293178,(p=1.90e-03),,21040406,(p=2.20e-03),,22158045,(p=2.80e-03),,27589337,(p=3.60e-03),,26708018,(p=3.70e-03),,22410125,(p=4.50e-03),,25325976,(p=5.10e-03),,20707913,(p=5.30e-03),,27294358,(p=6.10e-03),,28320104,(p=7.50e-03),
18,18,55872,PBK,-,70,13,0,26745678,(p=7.01e-04),,23547718,(p=2.90e-03),,27334838,(p=3.30e-03),,25466965,(p=3.90e-03),,25687885,(p=4.00e-03),,22192142,(p=5.00e-03),,28677687,(p=5.10e-03),,28333152,(p=8.00e-03),,20622899,(p=8.10e-03),,23250755,(p=8.20e-03),
