,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,9978,RBX1,-,384,268,0,22935614,(p=7.12e-05),,26976604,(p=7.40e-05),,26742010,(p=8.14e-05),,18851830,(p=8.50e-05),,19509229,(p=8.53e-05),,26906416,(p=8.64e-05),,25349211,(p=8.78e-05),,25540389,(p=8.91e-05),,21778237,(p=9.01e-05),,16449638,(p=9.04e-05),
2,2,8454,CUL1,-,405,269,0,27774986,(p=7.18e-05),,26976604,(p=7.40e-05),,18173839,(p=7.92e-05),,17439941,(p=8.13e-05),,18851830,(p=8.50e-05),,26906416,(p=8.64e-05),,26265931,(p=8.69e-05),,21813641,(p=8.73e-05),,11967155,(p=8.74e-05),,25349211,(p=8.78e-05),
3,3,7321,UBE2D1,-,406,246,0,18851830,(p=8.50e-05),,12504025,(p=9.50e-05),,20378537,(p=9.63e-05),,22916255,(p=9.65e-05),,24507701,(p=9.95e-05),,17132228,(p=9.99e-05),,18627766,(p=1.02e-04),,15242646,(p=1.05e-04),,26100637,(p=1.05e-04),,17301054,(p=1.10e-04),
4,4,6502,SKP2,-,415,241,0,18173839,(p=7.92e-05),,17439941,(p=8.13e-05),,23328082,(p=8.70e-05),,16861300,(p=9.04e-05),,23071779,(p=9.12e-05),,17254749,(p=9.19e-05),,22013077,(p=9.35e-05),,18826954,(p=9.60e-05),,19935701,(p=9.63e-05),,23907123,(p=9.85e-05),
5,5,6500,SKP1,-,355,202,0,21778237,(p=9.01e-05),,18247557,(p=9.25e-05),,12504025,(p=9.50e-05),,17098746,(p=9.71e-05),,21249194,(p=9.98e-05),,23951410,(p=1.00e-04),,16880511,(p=1.01e-04),,19509332,(p=1.01e-04),,22767593,(p=1.03e-04),,23624913,(p=1.04e-04),
6,6,8945,BTRC,-,377,206,0,11953428,(p=8.28e-05),,18851830,(p=8.50e-05),,23071779,(p=9.12e-05),,27833851,(p=9.38e-05),,12504025,(p=9.50e-05),,17217622,(p=9.59e-05),,20378537,(p=9.63e-05),,19966869,(p=9.84e-05),,21249194,(p=9.98e-05),,19797085,(p=1.01e-04),
7,7,4170,MCL1,-,587,275,0,24991768,(p=1.08e-04),,21368833,(p=1.09e-04),,21863213,(p=1.11e-04),,17927446,(p=1.11e-04),,19684859,(p=1.14e-04),,19622586,(p=1.14e-04),,27517746,(p=1.14e-04),,22608923,(p=1.15e-04),,27409838,(p=1.16e-04),,25147182,(p=1.18e-04),
8,8,4193,MDM2,-,1687,613,0,22916255,(p=9.65e-05),,19934289,(p=9.69e-05),,17098746,(p=9.71e-05),,19759023,(p=9.76e-05),,28592528,(p=1.03e-04),,23934659,(p=1.05e-04),,26720344,(p=1.05e-04),,19318567,(p=1.05e-04),,15242646,(p=1.05e-04),,18520179,(p=1.06e-04),
9,9,1026,CDKN1A,-,1511,522,0,23026136,(p=8.75e-05),,12151395,(p=9.84e-05),,21628527,(p=9.98e-05),,21054888,(p=1.05e-04),,25885043,(p=1.09e-04),,19686743,(p=1.15e-04),,21383005,(p=1.16e-04),,26187313,(p=1.17e-04),,23215027,(p=1.17e-04),,17502456,(p=1.17e-04),
10,10,1027,CDKN1B,-,929,317,0,11967155,(p=8.74e-05),,23907123,(p=9.85e-05),,21628527,(p=9.98e-05),,16880511,(p=1.01e-04),,19636294,(p=1.03e-04),,21054888,(p=1.05e-04),,22959436,(p=1.09e-04),,12188931,(p=1.09e-04),,25411243,(p=1.10e-04),,21237244,(p=1.10e-04),
11,11,2475,MTOR,-,1679,539,0,28241849,(p=9.66e-05),,25293974,(p=1.01e-04),,26499488,(p=1.10e-04),,26188279,(p=1.10e-04),,25046358,(p=1.12e-04),,25213258,(p=1.13e-04),,25849580,(p=1.14e-04),,23173671,(p=1.15e-04),,27893811,(p=1.15e-04),,28468774,(p=1.17e-04),
