,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,1956,EGFR,-,4828,926,0,20395213,(p=1.21e-04),,25077897,(p=1.22e-04),,18263768,(p=1.24e-04),,26043909,(p=1.25e-04),,26768483,(p=1.26e-04),,23908594,(p=1.27e-04),,25766325,(p=3.05e-04),,27083334,(p=3.06e-04),,22818908,(p=3.06e-04),,17610986,(p=3.06e-04),
2,2,4233,MET,-,1039,261,2.031e-272,26790028,(p=1.14e-04),,27789775,(p=1.21e-04),,23381625,(p=1.21e-04),,26580964,(p=1.22e-04),,25908454,(p=3.02e-04),,23992325,(p=3.03e-04),,23348694,(p=3.05e-04),,24786972,(p=3.08e-04),,26345996,(p=3.10e-04),,20661229,(p=3.10e-04),
3,3,207,AKT1,-,2893,371,1.727e-239,24705351,(p=3.06e-04),,20216471,(p=3.07e-04),,25416439,(p=3.08e-04),,26711788,(p=3.08e-04),,20159991,(p=3.12e-04),,25791921,(p=3.12e-04),,23812726,(p=3.13e-04),,22351695,(p=3.13e-04),,26310353,(p=4.01e-04),,20490331,(p=5.00e-04),
4,4,2475,MTOR,-,1679,272,1.658e-228,17935273,(p=1.16e-04),,23434734,(p=1.17e-04),,25862847,(p=1.17e-04),,26901106,(p=1.25e-04),,25952930,(p=3.01e-04),,20207176,(p=3.07e-04),,26188279,(p=3.09e-04),,18929564,(p=3.09e-04),,20884115,(p=3.09e-04),,26496775,(p=3.11e-04),
5,5,2064,ERBB2,-,2547,305,1.491e-208,23908594,(p=1.27e-04),,25766325,(p=3.05e-04),,22412143,(p=3.06e-04),,18211286,(p=3.13e-04),,20459769,(p=3.13e-04),,28468774,(p=3.14e-04),,25249538,(p=4.01e-04),,24044505,(p=4.02e-04),,28750133,(p=6.00e-04),,26333383,(p=6.00e-04),
6,6,6774,STAT3,-,2272,288,1.387e-208,28646535,(p=1.26e-04),,25248379,(p=3.02e-04),,28376152,(p=3.03e-04),,24402583,(p=3.07e-04),,22180308,(p=3.10e-04),,22098470,(p=3.11e-04),,22319590,(p=3.13e-04),,26921327,(p=3.13e-04),,24736071,(p=3.13e-04),,28230855,(p=4.01e-04),
7,7,5290,PIK3CA,-,1251,185,2.048e-173,24249715,(p=3.12e-04),,22351695,(p=3.13e-04),,27864574,(p=3.14e-04),,24011934,(p=5.01e-04),,27317099,(p=6.00e-04),,26333383,(p=6.00e-04),,28098872,(p=6.02e-04),,24451154,(p=7.00e-04),,24323026,(p=8.01e-04),,21558396,(p=8.02e-04),
8,8,3480,IGF1R,-,955,154,5.102e-160,23818948,(p=1.16e-04),,22044563,(p=3.07e-04),,24026884,(p=3.08e-04),,26156803,(p=3.11e-04),,25175038,(p=3.11e-04),,25617986,(p=3.14e-04),,26850678,(p=4.01e-04),,21372220,(p=5.01e-04),,26342551,(p=6.00e-04),,23515613,(p=6.01e-04),
9,9,3845,KRAS,-,2028,204,5.321e-153,20395213,(p=1.21e-04),,28846180,(p=1.21e-04),,23908594,(p=1.27e-04),,27607580,(p=3.09e-04),,20159991,(p=3.12e-04),,24496383,(p=3.13e-04),,22982650,(p=4.02e-04),,21385921,(p=4.02e-04),,24011934,(p=5.01e-04),,25444464,(p=6.01e-04),
10,10,5728,PTEN,-,1903,194,9.543e-150,27634912,(p=3.14e-04),,26526582,(p=4.02e-04),,25633810,(p=6.01e-04),,25909167,(p=7.00e-04),,25646931,(p=8.01e-04),,23416162,(p=1.00e-03),,19055754,(p=1.10e-03),,27261580,(p=1.10e-03),,20087603,(p=1.10e-03),,28132399,(p=1.10e-03),
11,11,332,BIRC5,-,1116,146,1.646e-141,24387108,(p=3.09e-04),,22723337,(p=3.10e-04),,25808836,(p=3.14e-04),,26497847,(p=3.14e-04),,22407831,(p=4.01e-04),,26018732,(p=6.01e-04),,22581315,(p=6.01e-04),,26043753,(p=6.02e-04),,24563335,(p=8.00e-04),,21470426,(p=8.00e-04),
12,12,558,AXL,-,235,85,3.135e-139,28251492,(p=3.06e-04),,25767293,(p=3.09e-04),,27671334,(p=3.13e-04),,25251599,(p=3.14e-04),,28118606,(p=4.00e-04),,20818175,(p=7.00e-04),,26036314,(p=8.02e-04),,27764792,(p=8.02e-04),,24240689,(p=8.03e-04),,20922806,(p=1.00e-03),
13,13,7422,VEGFA,-,4154,271,1.644e-138,24849467,(p=1.24e-04),,20485168,(p=3.03e-04),,27727447,(p=3.05e-04),,20502715,(p=3.06e-04),,25889301,(p=3.08e-04),,21956044,(p=3.10e-04),,26802156,(p=3.11e-04),,17949520,(p=3.12e-04),,19755511,(p=5.01e-04),,18494554,(p=6.01e-04),
14,14,3091,HIF1A,-,2688,190,3.309e-122,22537539,(p=3.06e-04),,16596228,(p=3.08e-04),,19435875,(p=3.09e-04),,25218350,(p=3.13e-04),,23314174,(p=5.00e-04),,20169663,(p=5.02e-04),,19016766,(p=6.01e-04),,25100134,(p=6.01e-04),,24362462,(p=6.01e-04),,24189531,(p=8.02e-04),
15,15,673,BRAF,-,1852,158,6.85e-122,21936566,(p=1.26e-04),,23908594,(p=1.27e-04),,19255327,(p=3.02e-04),,27283860,(p=3.03e-04),,22742884,(p=4.00e-04),,24885690,(p=4.00e-04),,26460303,(p=4.02e-04),,23242808,(p=5.00e-04),,24486585,(p=5.01e-04),,27351224,(p=5.01e-04),
16,16,4170,MCL1,-,587,100,9.411e-122,20038816,(p=1.19e-04),,26603262,(p=1.22e-04),,27465322,(p=3.13e-04),,17927446,(p=3.14e-04),,19288493,(p=4.02e-04),,27351224,(p=5.01e-04),,21863213,(p=6.01e-04),,22188816,(p=6.01e-04),,27307592,(p=6.01e-04),,23680104,(p=7.00e-04),
17,17,5747,PTK2,-,828,108,6.215e-116,26962872,(p=3.03e-04),,28533307,(p=6.02e-04),,28067792,(p=7.00e-04),,24848258,(p=8.00e-04),,23275034,(p=8.02e-04),,27009091,(p=8.02e-04),,27822706,(p=8.02e-04),,21800286,(p=9.00e-04),,18632638,(p=1.00e-03),,28459212,(p=1.00e-03),
18,18,8743,TNFSF10,-,776,102,7.406e-112,23053497,(p=1.14e-04),,23699656,(p=4.02e-04),,18640940,(p=6.02e-04),,20417200,(p=8.01e-04),,26381901,(p=8.03e-04),,18922903,(p=1.00e-03),,21670755,(p=1.10e-03),,28154184,(p=1.10e-03),,20424169,(p=1.30e-03),,20734142,(p=1.40e-03),
