,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,596,BCL2,-,1761,103,1.485e-80,26634708,(p=7.31e-05),,28522442,(p=8.17e-05),,25090026,(p=8.39e-05),,19656156,(p=8.46e-05),,28351934,(p=8.48e-05),,21933893,(p=8.75e-05),,28327893,(p=8.79e-05),,22851565,(p=8.80e-05),,23335369,(p=8.82e-05),,19152170,(p=8.92e-05),
2,2,2064,ERBB2,-,2547,113,6.651e-74,17388661,(p=2.13e-04),,26124351,(p=4.02e-04),,27032301,(p=4.03e-04),,19667268,(p=7.00e-04),,27502729,(p=8.00e-04),,24095300,(p=8.01e-04),,26181252,(p=8.01e-04),,20920367,(p=8.01e-04),,28750133,(p=8.02e-04),,22534547,(p=8.02e-04),
3,3,1956,EGFR,-,4828,158,1.23e-72,26043909,(p=5.00e-04),,22285168,(p=6.00e-04),,23993733,(p=8.00e-04),,27069157,(p=8.01e-04),,26159065,(p=8.02e-04),,26768483,(p=9.00e-04),,23134665,(p=9.01e-04),,20395213,(p=1.40e-03),,15967033,(p=1.40e-03),,26371700,(p=1.50e-03),
4,4,2067,ERCC1,-,614,54,3.841e-63,23263828,(p=8.00e-04),,19786980,(p=8.02e-04),,20734048,(p=8.06e-04),,16507781,(p=2.60e-03),,23884439,(p=2.80e-03),,23147544,(p=3.20e-03),,20216541,(p=3.30e-03),,17197435,(p=3.30e-03),,25107571,(p=3.30e-03),,25600168,(p=3.50e-03),
5,5,4609,MYC,-,1745,78,1.537e-60,19704118,(p=7.18e-05),,26634708,(p=7.31e-05),,21882178,(p=7.99e-05),,22665537,(p=8.02e-05),,20498406,(p=8.27e-05),,26820684,(p=8.28e-05),,25090026,(p=8.39e-05),,28291124,(p=8.46e-05),,28351934,(p=8.48e-05),,27469075,(p=8.77e-05),
6,6,5243,ABCB1,-,2076,74,1.765e-52,25582575,(p=4.01e-04),,24496564,(p=4.05e-04),,26153782,(p=5.01e-04),,17875533,(p=6.01e-04),,22543673,(p=8.03e-04),,12576456,(p=1.00e-03),,15547738,(p=1.30e-03),,18756548,(p=1.30e-03),,22016816,(p=1.40e-03),,12452027,(p=1.40e-03),
7,7,3845,KRAS,-,2028,73,2.114e-52,26446234,(p=8.02e-04),,26432508,(p=9.00e-04),,21636548,(p=1.20e-03),,20395213,(p=1.40e-03),,25911864,(p=1.50e-03),,24407191,(p=1.70e-03),,20631636,(p=1.70e-03),,23555992,(p=1.90e-03),,25427581,(p=1.90e-03),,20855820,(p=2.30e-03),
8,8,2322,FLT3,-,568,43,5.531e-51,28159598,(p=9.00e-04),,21242187,(p=1.30e-03),,22291086,(p=1.90e-03),,27315441,(p=1.90e-03),,28616699,(p=2.10e-03),,24981688,(p=3.10e-03),,11535508,(p=3.30e-03),,23431389,(p=3.50e-03),,15061200,(p=4.10e-03),,12816873,(p=4.10e-03),
9,9,238,ALK,-,529,41,1.06e-49,19636007,(p=7.30e-05),,24288180,(p=8.04e-04),,29150811,(p=1.00e-03),,28665943,(p=1.00e-03),,26973324,(p=1.40e-03),,24894770,(p=2.60e-03),,15004538,(p=3.10e-03),,27637025,(p=3.30e-03),,27913214,(p=3.50e-03),,18458503,(p=3.60e-03),
10,10,7298,TYMS,-,532,37,2.219e-44,27191954,(p=2.06e-04),,20061047,(p=8.02e-04),,20734048,(p=8.06e-04),,19822515,(p=1.70e-03),,12084458,(p=2.20e-03),,19307503,(p=3.30e-03),,20216541,(p=3.30e-03),,17512053,(p=3.40e-03),,21618517,(p=3.80e-03),,26847426,(p=4.00e-03),
11,11,2214,FCGR3A,-,395,33,2.102e-43,26316483,(p=8.19e-05),,16609067,(p=9.47e-05),,19843059,(p=9.60e-05),,21900198,(p=9.63e-05),,25050883,(p=9.97e-05),,21883784,(p=1.00e-04),,20137370,(p=2.01e-04),,21667346,(p=2.06e-04),,27004307,(p=4.04e-04),,17594928,(p=4.06e-04),
