,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
1,1,3065,HDAC1,-,940,604,0,23251689,(p=8.98e-05),,20072153,(p=9.71e-05),,28030834,(p=9.86e-05),,27342975,(p=1.05e-04),,16186112,(p=1.09e-04),,22114073,(p=1.10e-04),,26024595,(p=1.12e-04),,21179472,(p=1.13e-04),,14506733,(p=1.13e-04),,18003922,(p=1.14e-04),
2,2,8841,HDAC3,-,371,238,0,27342975,(p=1.05e-04),,16186112,(p=1.09e-04),,27956629,(p=1.11e-04),,21179472,(p=1.13e-04),,21624135,(p=1.14e-04),,22763818,(p=1.15e-04),,22641068,(p=1.15e-04),,26359372,(p=1.17e-04),,17675290,(p=1.18e-04),,20049841,(p=1.18e-04),
3,3,3066,HDAC2,-,524,336,0,23251689,(p=8.98e-05),,28030834,(p=9.86e-05),,22944197,(p=9.92e-05),,24218540,(p=1.05e-04),,27342975,(p=1.05e-04),,18834886,(p=1.11e-04),,22016339,(p=1.15e-04),,22641068,(p=1.15e-04),,15713621,(p=1.16e-04),,26359372,(p=1.17e-04),
4,4,23411,SIRT1,-,1010,339,0,16354677,(p=1.13e-04),,20733005,(p=1.19e-04),,24343700,(p=1.21e-04),,27086164,(p=1.22e-04),,27452907,(p=1.24e-04),,24672028,(p=1.24e-04),,21807113,(p=1.27e-04),,24088390,(p=1.29e-04),,24897117,(p=2.01e-04),,19995796,(p=2.03e-04),
5,5,1026,CDKN1A,-,1511,406,0,25384499,(p=1.04e-04),,23215027,(p=1.06e-04),,16533812,(p=1.18e-04),,17638911,(p=1.19e-04),,15557281,(p=1.20e-04),,25371069,(p=1.20e-04),,21383005,(p=1.21e-04),,22277651,(p=1.24e-04),,21903579,(p=1.24e-04),,18632985,(p=1.24e-04),
6,6,2475,MTOR,-,1679,397,0,24562770,(p=1.12e-04),,27507059,(p=1.14e-04),,27311860,(p=1.27e-04),,26188279,(p=2.01e-04),,24204783,(p=3.00e-04),,28241849,(p=3.04e-04),,28468774,(p=3.06e-04),,26892465,(p=4.01e-04),,20811722,(p=4.02e-04),,21471201,(p=5.02e-04),
7,7,6774,STAT3,-,2272,479,0,25321483,(p=1.22e-04),,22116549,(p=1.24e-04),,18483262,(p=1.24e-04),,23111066,(p=1.28e-04),,23681230,(p=1.28e-04),,16285960,(p=2.01e-04),,28646535,(p=3.06e-04),,20072651,(p=3.08e-04),,26255980,(p=4.00e-04),,21443800,(p=5.00e-04),
8,8,207,AKT1,-,2893,593,0,16186112,(p=1.09e-04),,24562770,(p=1.12e-04),,19574087,(p=1.20e-04),,23097134,(p=1.23e-04),,18227124,(p=1.30e-04),,26310353,(p=2.00e-04),,20216471,(p=3.05e-04),,16926151,(p=3.05e-04),,19801684,(p=3.05e-04),,23624506,(p=3.05e-04),
9,9,7157,TP53,-,8709,1209,0,20680659,(p=1.08e-04),,16354677,(p=1.13e-04),,24281001,(p=1.14e-04),,19828042,(p=1.15e-04),,18059320,(p=1.15e-04),,18419600,(p=1.21e-04),,10777477,(p=1.22e-04),,27838375,(p=1.22e-04),,20190809,(p=1.22e-04),,19265193,(p=1.23e-04),
10,10,1956,EGFR,-,4828,652,0,18683042,(p=1.12e-04),,24707474,(p=1.24e-04),,25077897,(p=1.29e-04),,25766325,(p=2.01e-04),,23536719,(p=2.03e-04),,21094134,(p=3.03e-04),,28710768,(p=3.04e-04),,27206736,(p=3.06e-04),,23548265,(p=3.08e-04),,21858220,(p=4.00e-04),
11,11,8743,TNFSF10,-,776,244,2.299e-291,19597472,(p=1.06e-04),,21107885,(p=1.08e-04),,24946096,(p=1.16e-04),,17195089,(p=1.22e-04),,22266862,(p=1.22e-04),,20580868,(p=1.24e-04),,15619633,(p=1.27e-04),,19802013,(p=1.27e-04),,27358484,(p=1.29e-04),,16820090,(p=3.04e-04),
12,12,332,BIRC5,-,1116,277,2.078e-286,17638911,(p=1.19e-04),,23097134,(p=1.23e-04),,19624872,(p=1.26e-04),,23167260,(p=1.29e-04),,18708766,(p=2.01e-04),,25605253,(p=3.06e-04),,25895606,(p=3.07e-04),,22407831,(p=4.00e-04),,21757750,(p=4.00e-04),,24478433,(p=5.02e-04),
13,13,4170,MCL1,-,587,205,1.458e-269,22456335,(p=9.56e-05),,27049076,(p=3.07e-04),,19503096,(p=4.02e-04),,21863213,(p=4.02e-04),,19684859,(p=6.00e-04),,20038816,(p=6.00e-04),,17927446,(p=6.00e-04),,24742042,(p=6.04e-04),,24568469,(p=7.00e-04),,26603262,(p=8.00e-04),
14,14,10013,HDAC6,-,311,164,2.142e-267,22464548,(p=1.05e-04),,25946558,(p=1.07e-04),,16186112,(p=1.09e-04),,23322205,(p=1.13e-04),,27221381,(p=1.17e-04),,22124372,(p=1.21e-04),,22957056,(p=1.22e-04),,22367781,(p=1.23e-04),,18794144,(p=1.23e-04),,22384180,(p=1.24e-04),
15,15,6667,SP1,-,1027,249,5.682e-265,20072153,(p=9.71e-05),,18003922,(p=1.14e-04),,15713621,(p=1.16e-04),,22419072,(p=1.19e-04),,15557281,(p=1.20e-04),,15155736,(p=1.20e-04),,23877235,(p=1.20e-04),,15647279,(p=1.24e-04),,18632985,(p=1.24e-04),,21465530,(p=1.26e-04),
